Image Name,Keywords
B09BC2LJJD,"[Category] {Baby Care}, [Age Group] {Infant}, [Purpose] {Healing}, [Material] {Shea Butter}, [Usage Context] {Skin Care}."
B09TCKKDFC,"[Category] {Baby Bedding}, [Age Group] {Infant}, [Purpose] {Sleeping}, [Material] {Cotton}, [Usage Context] {Home}"
B00AGJFNCA,"[Category] {Baby Products}, [Age Group] {Infant}, [Purpose] {Safety}, [Material] {Glass}, [Usage Context] {Car}"
B01416HEHA,"[Category] {Sleepwear}, [Age Group] {Infant}, [Purpose] {Swaddling}, [Material] {Cotton}, [Usage Context] {Home}"
B07TSG87YD,"[Category] {Diapers}, [Age Group] {Toddler}, [Purpose] {Hygiene}, [Material] {Paper}, [Usage Context] {Home}"
B0C4N1Q324,"[Category] {Baby Accessories}, [Age Group] {Infant}, [Purpose] {Organizing}, [Material] {Plastic}, [Usage Context] {Stroller, Shopping Cart, Diaper Bag}."
B012KUCR30,"[Category] {Toys}, [Age Group] {Infant}, [Purpose] {Teething Relief}, [Material] {Silicone}, [Usage Context] {Home}"
B0787J6R3J,"[Category] {Baby Accessories}, [Age Group] {Infant}, [Purpose] {Storage}, [Material] {Fabric}, [Usage Context] {Home}"
B01MDR7DHR,"[Category] {Baby Products}, [Age Group] {Infant}, [Purpose] {Feeding}, [Material] {Plastic}, [Usage Context] {Home}"
B0144A6BYA,"[Category] {Baby Care}, [Age Group] {Infant}, [Purpose] {Medication Administration}, [Material] {Plastic}, [Usage Context] {Home}."
B07K7VH3KS,"[Category] {Safety}, [Age Group] {Infant}, [Purpose] {Protection}, [Material] {Metal}, [Usage Context] {Home}."
B09GMYTL3F,"[Category] {Baby Products}, [Age Group] {Infant}, [Purpose] {Safety}, [Material] {Plastic}, [Usage Context] {Car}."
B09NB7M1C7,"[Category] {Baby Care}, [Age Group] {Infant}, [Purpose] {Hygiene}, [Material] {Cotton}, [Usage Context] {Home}"
B08WVG8HN2,"[Category] {Sleepwear}, [Age Group] {Infant}, [Purpose] {Sleeping}, [Material] {Cotton}, [Usage Context] {Home}"
B08ZKKHH7S,"[Category] {Baby Accessories}, [Age Group] {Infant}, [Purpose] {Feeding}, [Material] {Cotton}, [Usage Context] {Home}."
B0BK78NVVS,"[Category] {Baby Care}, [Age Group] {Infant}, [Purpose] {Hygiene}, [Material] {Natural}, [Usage Context] {Home}."
B0BXTNL2NY,"[Category] {Baby Care}, [Age Group] {Infant}, [Purpose] {Hygiene}, [Material] {Plastic}, [Usage Context] {Bathroom}."
B01M01N48V,"[Category] {Baby Monitors}, [Age Group] {Infant}, [Purpose] {Security}, [Material] {Plastic}, [Usage Context] {Home}."
B07CJHG87L,"[Category] {Baby Monitors}, [Age Group] {Infant}, [Purpose] {Security}, [Material] {Plastic}, [Usage Context] {Home}."
B08VX4FGCL,"[Category] {Strollers}, [Age Group] {Infant}, [Purpose] {Transportation}, [Material] {Metal and Fabric}, [Usage Context] {Outdoor}."
B00A0ID90A,"[Category] {Toiletries}, [Age Group] {Toddler}, [Purpose] {Hygiene}, [Material] {Plastic}, [Usage Context] {Home}."
B0BW5KRPSX,"[Category] {Baby Care}, [Age Group] {Infant}, [Purpose] {Teething Relief}, [Material] {Plastic}, [Usage Context] {Home}."
B07CR1MJ29,"[Category] {Baby Care}, [Age Group] {Infant}, [Purpose] {Hygiene}, [Material] {Plastic}, [Usage Context] {Home}"
B07XLWMXCS,"[Category] {Baby Care}, [Age Group] {Infant}, [Purpose] {Diapering}, [Material] {Polyester}, [Usage Context] {Travel}"
B0C66LKVB9,"[Category] {Baby Feeding}, [Age Group] {Infant}, [Purpose] {Nursing Bottle Nipples}, [Material] {Plastic}, [Usage Context] {Home}"
B0B6JS97TT,"[Category] {Toys}, [Age Group] {Infant}, [Purpose] {Entertainment}, [Material] {Plush}, [Usage Context] {Bedtime}."
B005OOXRHK,"[Category] {Baby Products}, [Age Group] {Infant}, [Purpose] {Hygiene}, [Material] {Cotton}, [Usage Context] {Home}."
B071JVXQSV,"[Category] {Sleepwear}, [Age Group] {Infant}, [Purpose] {Sleeping}, [Material] {Cotton}, [Usage Context] {Home}"
B0BW8LFC6V,"[Category] {Baby Care}, [Age Group] {Newborn}, [Purpose] {Lotion}, [Material] {Plastic}, [Usage Context] {Bath Time}"
B07GBTFRQZ,"[Category] {Storage}, [Age Group] {Baby}, [Purpose] {Organization}, [Material] {Fabric}, [Usage Context] {Home}."
B00F18FN8U,"[Category] {Baby Products}, [Age Group] {Infant}, [Purpose] {Sleeping}, [Material] {Foam}, [Usage Context] {Home}"
B01M0IGQN2,"[Category] {Crafts}, [Age Group] {Children}, [Purpose] {Fashion}, [Material] {Fabric}, [Usage Context] {Party}"
B07G74YSQ1,"[Category] {Baby Care}, [Age Group] {Infant}, [Purpose] {Hygiene}, [Material] {Cotton}, [Usage Context] {Home}"
B075XQ2XYV,"[Category] {Safety}, [Age Group] {Infant}, [Purpose] {Protection}, [Material] {Wood}, [Usage Context] {Home}."
B08CVV5L52,"[Category] {Baby Products}, [Age Group] {Infant}, [Purpose] {Blanket}, [Material] {Soft Fabric}, [Usage Context] {Home}"
