Image Name,Keywords
B09BC2LJJD,"Category: Baby Care, Age Group: Infant, Purpose: Healing, Material: Silicone, Usage Context: Home"
B09TCKKDFC,"[Category] {Baby Bedding}, [Age Group] {Infant}, [Purpose] {Sleeping}, [Material] {Fabric}, [Usage Context] {Bedroom}"
B00AGJFNCA,"Category: Child Safety
Age Group: Toddler
Purpose: Transportation
Material: Leather
Usage Context: Car Seat"
B01416HEHA,"[Category] {Sleeping}, [Age Group] {Infant}, [Purpose] {Comfort}, [Material] {Silicone}, [Usage Context] {Sleep}"
B07TSG87YD,"Category: Baby Care, Age Group: Infant, Purpose: Hygiene, Material: Plush, Usage Context: Bedtime"
B0C4N1Q324,"[Category] {Clip}, [Age Group] {Baby}, [Purpose] {Organization}, [Material] {Plastic}, [Usage Context] {Travel}."
B012KUCR30,"[Category] {Educational}, [Age Group] {Toddler}, [Purpose] {Cutting Practice}, [Material] {Plastic}, [Usage Context] {Playroom}"
B0787J6R3J,"Category: Diaper, Age Group: Infant, Purpose: Hygiene, Material: Plastic, Usage Context: Home"
B01MDR7DHR,"Category: Feeding, Age Group: Infant, Purpose: Hygiene, Material: Silicone, Usage Context: Home"
B0144A6BYA,"Category: Healthcare, Age Group: Infant, Purpose: Medication Administration, Material: Plastic, Usage Context: Home"
B07K7VH3KS,"Category: Baby Products
Age Group: Infant
Purpose: Sleeping
Material: Plastic
Usage Context: Nursery"
B09GMYTL3F,"Category: Child Safety, Age Group: Infant, Purpose: Travel, Material: Leather, Usage Context: Car"
B09NB7M1C7,"[Category] {Baby Bedding}, [Age Group] {Infant}, [Purpose] {Comfort}, [Material] {Fabric}, [Usage Context] {Sleeping}"
B08WVG8HN2,Sleeping Bag
B08ZKKHH7S,"Category: Diapers, Age Group: Infant, Purpose: Hygiene, Material: Cloth, Usage Context: Home"
B0BK78NVVS,"Category: Baby Products, Age Group: Infant, Purpose: Cleaning, Material: Natural, Usage Context: Home"
B0BXTNL2NY,"Category: Baby Care, Age Group: Infant, Purpose: Shampoo & Wash, Material: Soap, Usage Context: Bathroom"
B01M01N48V,"Category: Home Monitoring, Age Group: Infant, Purpose: Safety, Material: Plastic, Usage Context: Childcare"
B07CJHG87L,"Category: Safety, Age Group: Infant, Purpose: Monitoring, Material: Plastic, Usage Context: Home"
B08VX4FGCL,"Category: Mobility Aids
Age Group: Adult
Purpose: Transportation
Material: Plastic
Usage Context: Outdoor"
B00A0ID90A,"Category: Potty Training, Age Group: Toddler, Purpose: Hygiene, Material: Plastic, Usage Context: Home"
B0BW5KRPSX,"Category: Homeopathic Medicine, Age Group: 1m+, Purpose: Teething Relief, Material: Liquid Doses, Usage Context: Painful Gums - Irritability"
B07CR1MJ29,"Category: {Baby Care}, Age Group: {Infant}, Purpose: {Hygiene}, Material: {Plastic}, Usage Context: {Home}"
