asin,result
40480,[Dish Type] {Pasta} [Cuisine] {Italian} [Primary Ingredient] {Cheese} [Flavor Profile] {Savory} [Meal Type] {Dinner}.
16235,Chili {Soup} [Cuisine] {American} [Primary Ingredient] {Beans} [Flavor Profile] {Spicy} [Meal Type] {Dinner}.
8683,[Dish Type] {Pasta} [Cuisine] {Italian} [Primary Ingredient] {Chicken} [Flavor Profile] {Savory} [Meal Type] {Dinner}.
16881,[Dish Type] {Pizza} [Cuisine] {Italian} [Primary Ingredient] {Cheese} [Flavor Profile] {Savory} [Meal Type] {Dinner}.
31519,[Dish Type] {Fries} [Cuisine] {American} [Primary Ingredient] {Potato} [Flavor Profile] {Salty} [Meal Type] {Lunch}.
10938,[Dish Type] {Bar} [Cuisine] {Snack} [Primary Ingredient] {Chocolate} [Flavor Profile] {Sweet} [Meal Type] {Snack}
214992,[Dish Type] {Tortilla} [Cuisine] {Mexican} [Primary Ingredient] {Chicken} [Flavor Profile] {Spicy} [Meal Type] {Lunch}.
18085,[Dish Type] {Potato Salad} [Cuisine] {American} [Primary Ingredient] {Potatoes} [Flavor Profile] {Savory} [Meal Type] {Lunch or Dinner}
9450,[Dish Type] {Biscuits} [Cuisine] {American} [Primary Ingredient] {Flour} [Flavor Profile] {Sweet} [Meal Type] {Breakfast}.
13112,[Dish Type] {Soup} [Cuisine] {American} [Primary Ingredient] {Spinach} [Flavor Profile] {Creamy} [Meal Type] {Lunch}.
25665,[Dish Type] {Soup} [Cuisine] {American} [Primary Ingredient] {Cream} [Flavor Profile] {Creamy} [Meal Type] {Lunch}.
18535,Pecan Pie {Pie} {American} {Pecans} {Sweet} {Dessert}
16610,[Dish Type] {Pasta} [Cuisine] {Italian} [Primary Ingredient] {Cheese} [Flavor Profile] {Savory} [Meal Type] {Dinner}.
8025,[Dish Type] {Dessert} [Cuisine] {American} [Primary Ingredient] {Chocolate} [Flavor Profile] {Sweet} [Meal Type] {Dessert}
9857,[Dish Type] {Ice Cream} [Cuisine] {Dessert} [Primary Ingredient] {Milk} [Flavor Profile] {Sweet} [Meal Type] {Dessert}
44839,[Dish Type] {Burger} [Cuisine] {American} [Primary Ingredient] {Beef} [Flavor Profile] {Savory} [Meal Type] {Lunch}.
25354,[Dish Type] {Potato Biscuit} [Cuisine] {American} [Primary Ingredient] {Potato} [Flavor Profile] {Savory} [Meal Type] {Breakfast}.
10040,[Dish Type] {Bar} [Cuisine] {Snack} [Primary Ingredient] {Chocolate} [Flavor Profile] {Sweet} [Meal Type] {Snack}
74037,[Dish Type] {Poultry} [Cuisine] {French} [Primary Ingredient] {Chicken} [Flavor Profile] {Herby} [Meal Type] {Dinner}.
6820,[Dish Type] {Bread} [Cuisine] {American} [Primary Ingredient] {Sweet Potato} [Flavor Profile] {Spicy} [Meal Type] {Breakfast}
79470,[Dish Type] {Scone} [Cuisine] {British} [Primary Ingredient] {Flour} [Flavor Profile] {Sweet} [Meal Type] {Breakfast}
7542,[Dish Type] {Cupcake} [Cuisine] {American} [Primary Ingredient] {Flour} [Flavor Profile] {Sweet} [Meal Type] {Dessert}.
19009,[Dish Type] {Dessert} [Cuisine] {American} [Primary Ingredient] {Chocolate} [Flavor Profile] {Rich} [Meal Type] {Dessert}
15063,Chicken Parmesan {Pasta} {Italian} {Chicken} {Savory} {Dinner}
13423,[Dish Type] {Chili} [Cuisine] {American} [Primary Ingredient] {Beef} [Flavor Profile] {Spicy} [Meal Type] {Dinner}.
21291,[Dish Type] {Chicken} [Cuisine] {American} [Primary Ingredient] {Chicken} [Flavor Profile] {Sweet} [Meal Type] {Dinner}.
218929,[Dish Type] {Oatmeal} [Cuisine] {American} [Primary Ingredient] {Oats} [Flavor Profile] {Sweet} [Meal Type] {Breakfast}.
70343,[Dish Type] {Pasta} [Cuisine] {Italian} [Primary Ingredient] {Cheese} [Flavor Profile] {Savory} [Meal Type] {Dinner}.
33385,Dish Type {Rice} [Cuisine] {Asian} [Primary Ingredient] {Rice} [Flavor Profile] {Spicy} [Meal Type] {Lunch}.
49552,Dish Type {Salad} Cuisine {Mediterranean} Primary Ingredient {Quinoa} Flavor Profile {Nutty} Meal Type {Lunch}
23567,[Dish Type] {Stir-Fry} [Cuisine] {Asian} [Primary Ingredient] {Beef} [Flavor Profile] {Spicy} [Meal Type] {Lunch}.
83557,[Dish Type] {Roasted} [Cuisine] {American} [Primary Ingredient] {Chicken} [Flavor Profile] {Spicy} [Meal Type] {Dinner}.
43941,"Tiramisu {Dessert} {Italian} {Coffee} {Rich, Creamy} {Dessert}"
