asin,result
40480,['[Dish Type] {Dip} [Cuisine] {American} [Primary Ingredient] {Carrot} [Flavor Profile] {Sweet and Savory} [Meal Type] {Snack}']
16235,['[Dish Type] {Stew} [Cuisine] {Mexican} [Primary Ingredient] {Meat} [Flavor Profile] {Spicy} [Meal Type] {Main Course}']
8683,['[Dish Type] {Chicken} [Cuisine] {Italian} [Primary Ingredient] {Mushroom} [Flavor Profile] {Creamy} [Meal Type] {Dinner}']
16881,['[Dish Type] {Lasagna} [Cuisine] {Italian} [Primary Ingredient] {Cheese} [Flavor Profile] {Rich} [Meal Type] {Main Course}']
31519,['[Dish Type] {Fries} [Cuisine] {American} [Primary Ingredient] {Potatoes} [Flavor Profile] {Spiced} [Meal Type] {Appetizer}']
10938,['[Dish Type] {Dessert} [Cuisine] {British} [Primary Ingredient] {Nuts} [Flavor Profile] {Sweet} [Meal Type] {Snack}']
214992,['[Dish Type] {Tortilla} [Cuisine] {Mexican} [Primary Ingredient] {Chicken} [Flavor Profile] {Savory} [Meal Type] {Main Course}']
18085,['[Dish Type] {Potato Salad} [Cuisine] {American} [Primary Ingredient] {Potato} [Flavor Profile] {Savory} [Meal Type] {Side Dish}']
9450,['[Dish Type] {Chicken} [Cuisine] {American} [Primary Ingredient] {Chicken} [Flavor Profile] {Savory} [Meal Type] {Main Course}']
13112,['[Dish Type] {Soup} [Cuisine] {Greek} [Primary Ingredient] {Spinach} [Flavor Profile] {Creamy} [Meal Type] {Soup}']
25665,['[Dish Type] {Potato} [Cuisine] {American} [Primary Ingredient] {Potato} [Flavor Profile] {Creamy} [Meal Type] {Dinner}']
18535,['[Dish Type] {Bread} [Cuisine] {American} [Primary Ingredient] {Cheese} [Flavor Profile] {Savory} [Meal Type] {Dinner}']
16610,['[Dish Type] {Chicken} [Cuisine] {American} [Primary Ingredient] {Chicken} [Flavor Profile] {Creamy} [Meal Type] {Dinner}']
8025,['[Dish Type] {Dessert} [Cuisine] {French} [Primary Ingredient] {Chocolate} [Flavor Profile] {Sweet} [Meal Type] {Dessert}']
9857,['[Dish Type] {Meringue} [Cuisine] {French} [Primary Ingredient] {Eggs} [Flavor Profile] {Sweet} [Meal Type] {Dessert}']
44839,['[Dish Type] {Hamburger} [Cuisine] {American} [Primary Ingredient] {Beef} [Flavor Profile] {Rich} [Meal Type] {Main Course}']
25354,['[Dish Type] {Muffin} [Cuisine] {American} [Primary Ingredient] {Bacon} [Flavor Profile] {Savory} [Meal Type] {Breakfast}']
10040,['[Dish Type] {Dessert} [Cuisine] {American} [Primary Ingredient] {Chocolate} [Flavor Profile] {Sweet} [Meal Type] {Snack}']
74037,['[Dish Type] {Steak} [Cuisine] {French} [Primary Ingredient] {Beef} [Flavor Profile] {Rich} [Meal Type] {Main Course}']
6820,['[Dish Type] {Bread} [Cuisine] {American} [Primary Ingredient] {Pumpkin} [Flavor Profile] {Spiced} [Meal Type] {Dessert}']
79470,['[Dish Type] {Scone} [Cuisine] {British} [Primary Ingredient] {Raisins} [Flavor Profile] {Sweet} [Meal Type] {Breakfast}']
7542,['[Dish Type] {Cupcake} [Cuisine] {Dessert} [Primary Ingredient] {Flour} [Flavor Profile] {Sweet} [Meal Type] {Dessert}']
19009,['[Dish Type] {Cake} [Cuisine] {Italian} [Primary Ingredient] {Chocolate} [Flavor Profile] {Rich} [Meal Type] {Dessert}']
15063,['[Dish Type] {Chicken} [Cuisine] {American} [Primary Ingredient] {Chicken} [Flavor Profile] {Savory} [Meal Type] {Dinner}']
13423,['[Dish Type] {Chili} [Cuisine] {Mexican} [Primary Ingredient] {Beans} [Flavor Profile] {Spicy} [Meal Type] {Dinner}']
21291,['[Dish Type] {Steak} [Cuisine] {American} [Primary Ingredient] {Beef} [Flavor Profile] {Rich} [Meal Type] {Main Course}']
218929,['[Dish Type] {Oatmeal} [Cuisine] {American} [Primary Ingredient] {Apples} [Flavor Profile] {Sweet} [Meal Type] {Breakfast}']
70343,['[Dish Type] {Pasta} [Cuisine] {Mexican} [Primary Ingredient] {Cheese} [Flavor Profile] {Savory} [Meal Type] {Dinner}']
33385,['[Dish Type] {Rice} [Cuisine] {Mexican} [Primary Ingredient] {Rice} [Flavor Profile] {Spicy} [Meal Type] {Main Course}']
49552,['[Dish Type] {Pasta} [Cuisine] {Mediterranean} [Primary Ingredient] {Quinoa} [Flavor Profile] {Nutritious} [Meal Type] {Salad}']
23567,['[Dish Type] {Stew} [Cuisine] {Mexican} [Primary Ingredient] {Beef} [Flavor Profile] {Spicy} [Meal Type] {Main Course}']
83557,['[Dish Type] {Chicken} [Cuisine] {American} [Primary Ingredient] {Chicken} [Flavor Profile] {Spiced} [Meal Type] {Main Course}']
43941,['[Dish Type] {Pastry} [Cuisine] {French} [Primary Ingredient] {Chocolate} [Flavor Profile] {Sweet} [Meal Type] {Dessert}']
6905,['[Dish Type] {Biscuit} [Cuisine] {American} [Primary Ingredient] {Flour} [Flavor Profile] {Sweet} [Meal Type] {Snack}']
73963,['[Dish Type] {Pasta} [Cuisine] {Italian} [Primary Ingredient] {Cheese} [Flavor Profile] {Savory} [Meal Type] {Dinner}']
22137,['[Dish Type] {Tiramisu} [Cuisine] {Italian} [Primary Ingredient] {Strawberries} [Flavor Profile] {Sweet} [Meal Type] {Dessert}']
