asin,result
40480,[Dish Type] {Mashed Potatoes} [Cuisine] {American} [Primary Ingredient] {Potatoes} [Flavor Profile] {Savory} [Meal Type] {Side Dish}
16235,[Dish Type] {Chili} [Cuisine] {American} [Primary Ingredient] {Beans} [Flavor Profile] {Spicy} [Meal Type] {Dinner}
8683,[Dish Type] {Chicken} [Cuisine] {American} [Primary Ingredient] {Mushrooms} [Flavor Profile] {Savory} [Meal Type] {Dinner}
16881,[Dish Type] {Lasagna} [Cuisine] {Mexican} [Primary Ingredient] {Cheese} [Flavor Profile] {Spicy} [Meal Type] {Dinner}
31519,[Dish Type] {Fried Potatoes} [Cuisine] {American} [Primary Ingredient] {Potatoes} [Flavor Profile] {Herbaceous} [Meal Type] {Lunch}
10938,[Dish Type] {Bars} [Cuisine] {American} [Primary Ingredient] {Peanuts} [Flavor Profile] {Sweet} [Meal Type] {Snack}
214992,[Dish Type] {Tacos} [Cuisine] {Mexican} [Primary Ingredient] {Pork} [Flavor Profile] {Spicy} [Meal Type] {Lunch}
18085,[Dish Type] {Potato Salad} [Cuisine] {American} [Primary Ingredient] {Potatoes} [Flavor Profile] {Savory} [Meal Type] {Side Dish}
9450,[Dish Type] {Cookies} [Cuisine] {American} [Primary Ingredient] {Oats} [Flavor Profile] {Sweet} [Meal Type] {Snack}
13112,[Dish Type] {Soup} [Cuisine] {European} [Primary Ingredient] {Asparagus} [Flavor Profile] {Fresh} [Meal Type] {Lunch}
25665,[Dish Type] {Soup} [Cuisine] {American} [Primary Ingredient] {Potatoes} [Flavor Profile] {Savory} [Meal Type] {Dinner}
18535,[Dish Type] {Pumpkin Pie} [Cuisine] {American} [Primary Ingredient] {Pumpkin} [Flavor Profile] {Sweet} [Meal Type] {Dessert}
16610,[Dish Type] {Casserole} [Cuisine] {American} [Primary Ingredient] {Cheese} [Flavor Profile] {Savory} [Meal Type] {Dinner}
8025,[Dish Type] {Dessert} [Cuisine] {American} [Primary Ingredient] {Chocolate} [Flavor Profile] {Sweet} [Meal Type] {Snack}
9857,[Dish Type] {Meringue} [Cuisine] {American} [Primary Ingredient] {Egg whites} [Flavor Profile] {Sweet} [Meal Type] {Snack}
44839,[Dish Type] {Burger} [Cuisine] {American} [Primary Ingredient] {Beef} [Flavor Profile] {Savory} [Meal Type] {Lunch}
25354,[Dish Type] {Muffin} [Cuisine] {American} [Primary Ingredient] {Cheese} [Flavor Profile] {Savory} [Meal Type] {Breakfast}
10040,[Dish Type] {Bars} [Cuisine] {American} [Primary Ingredient] {Chocolate} [Flavor Profile] {Sweet} [Meal Type] {Snack}
74037,[Dish Type] {Lamb Chops} [Cuisine] {French} [Primary Ingredient] {Lamb} [Flavor Profile] {Herbaceous} [Meal Type] {Dinner}
6820,[Dish Type] {Bread} [Cuisine] {American} [Primary Ingredient] {Pumpkin} [Flavor Profile] {Spicy} [Meal Type] {Snack}
79470,[Dish Type] {Scone} [Cuisine] {British} [Primary Ingredient] {Butter} [Flavor Profile] {Sweet} [Meal Type] {Breakfast}
7542,[Dish Type] {Cupcakes} [Cuisine] {American} [Primary Ingredient] {Sugar} [Flavor Profile] {Sweet} [Meal Type] {Snack}
19009,[Dish Type] {Eclair} [Cuisine] {French} [Primary Ingredient] {Cream} [Flavor Profile] {Sweet} [Meal Type] {Dessert}
15063,[Dish Type] {Chicken} [Cuisine] {American} [Primary Ingredient] {Chicken} [Flavor Profile] {Savory} [Meal Type] {Dinner}
13423,[Dish Type] {Chili} [Cuisine] {American} [Primary Ingredient] {Beef} [Flavor Profile] {Spicy} [Meal Type] {Dinner}
21291,[Dish Type] {Pork Chop} [Cuisine] {American} [Primary Ingredient] {Pork} [Flavor Profile] {Sweet and Savory} [Meal Type] {Dinner}
218929,[Dish Type] {Porridge} [Cuisine] {American} [Primary Ingredient] {Oatmeal} [Flavor Profile] {Sweet} [Meal Type] {Breakfast}
70343,[Dish Type] {Soup} [Cuisine] {Mexican} [Primary Ingredient] {Chicken} [Flavor Profile] {Spicy} [Meal Type] {Lunch}
33385,[Dish Type] {Rice} [Cuisine] {Spanish} [Primary Ingredient] {Tomatoes} [Flavor Profile] {Spicy} [Meal Type] {Side Dish}
49552,[Dish Type] {Salad} [Cuisine] {Vegetarian} [Primary Ingredient] {Quinoa} [Flavor Profile] {Fresh} [Meal Type] {Lunch}
23567,[Dish Type] {Stir-Fry} [Cuisine] {Asian} [Primary Ingredient] {Beef} [Flavor Profile] {Spicy} [Meal Type] {Dinner}
83557,[Dish Type] {Roast Chicken} [Cuisine] {American} [Primary Ingredient] {Chicken} [Flavor Profile] {Savory} [Meal Type] {Dinner}
43941,[Dish Type] {Dessert} [Cuisine] {Italian} [Primary Ingredient] {Chocolate} [Flavor Profile] {Sweet} [Meal Type] {Snack}
6905,[Dish Type] {Scones} [Cuisine] {British} [Primary Ingredient] {Butter} [Flavor Profile] {Sweet} [Meal Type] {Breakfast}
73963,[Dish Type] {Pasta} [Cuisine] {Italian} [Primary Ingredient] {Pasta} [Flavor Profile] {Savory} [Meal Type] {Lunch}
22137,[Dish Type] {Trifle} [Cuisine] {American} [Primary Ingredient] {Strawberries} [Flavor Profile] {Sweet} [Meal Type] {Dessert}
22911,[Dish Type] {Fruit Dip} [Cuisine] {American} [Primary Ingredient] {Strawberries} [Flavor Profile] {Sweet} [Meal Type] {Snack}
18351,[Dish Type] {Pasta} [Cuisine] {Italian} [Primary Ingredient] {Zucchini} [Flavor Profile] {Fresh} [Meal Type] {Lunch}
23847,[Dish Type] {Pasta} [Cuisine] {Italian} [Primary Ingredient] {Tomatoes} [Flavor Profile] {Savory} [Meal Type] {Dinner}
16066,[Dish Type] {Steak} [Cuisine] {American} [Primary Ingredient] {Beef} [Flavor Profile] {Spicy} [Meal Type] {Dinner}
21672,[Dish Type] {Ham and Apple} [Cuisine] {American} [Primary Ingredient] {Ham} [Flavor Profile] {Sweet} [Meal Type] {Dinner}
11758,[Dish Type] {Pasta} [Cuisine] {Italian} [Primary Ingredient] {Cheese} [Flavor Profile] {Savory} [Meal Type] {Dinner}
87434,[Dish Type] {Grilled Meat} [Cuisine] {American} [Primary Ingredient] {Pork} [Flavor Profile] {Smoky} [Meal Type] {Dinner}
191275,[Dish Type] {Cake} [Cuisine] {American} [Primary Ingredient] {Sugar} [Flavor Profile] {Sweet} [Meal Type] {Dessert}
9661,[Dish Type] {Bars} [Cuisine] {American} [Primary Ingredient] {Chocolate} [Flavor Profile] {Sweet} [Meal Type] {Snack}
16607,[Dish Type] {Brownies} [Cuisine] {American} [Primary Ingredient] {Chocolate} [Flavor Profile] {Sweet} [Meal Type] {Dessert}
19541,[Dish Type] {Side Dish} [Cuisine] {American} [Primary Ingredient] {Sweet Potato} [Flavor Profile] {Sweet} [Meal Type] {Dinner}
26472,[Dish Type] {Soup} [Cuisine] {American} [Primary Ingredient] {Noodles} [Flavor Profile] {Savory} [Meal Type] {Lunch}
11814,[Dish Type] {Pasta} [Cuisine] {Italian} [Primary Ingredient] {Shrimp} [Flavor Profile] {Savory} [Meal Type] {Dinner}
8509,[Dish Type] {Chicken} [Cuisine] {American} [Primary Ingredient] {Chicken} [Flavor Profile] {Savory} [Meal Type] {Lunch}
11966,[Dish Type] {Sauce} [Cuisine] {Italian} [Primary Ingredient] {Tomato} [Flavor Profile] {Savory} [Meal Type] {Dinner}
16845,[Dish Type] {Dip} [Cuisine] {Mexican} [Primary Ingredient] {Ground Beef} [Flavor Profile] {Spicy} [Meal Type] {Appetizer}
83727,[Dish Type] {Salad} [Cuisine] {German} [Primary Ingredient] {Cabbage} [Flavor Profile] {Sour} [Meal Type] {Side Dish}
26284,[Dish Type] {Pasta} [Cuisine] {Italian} [Primary Ingredient] {Chicken} [Flavor Profile] {Herbaceous} [Meal Type] {Dinner}
25197,[Dish Type] {Stir-Fry} [Cuisine] {Asian} [Primary Ingredient] {Meatballs} [Flavor Profile] {Sweet and Sour} [Meal Type] {Dinner}
24059,[Dish Type] {Pudding} [Cuisine] {American} [Primary Ingredient] {Raisins} [Flavor Profile] {Sweet} [Meal Type] {Dessert}
18448,[Dish Type] {Soup} [Cuisine] {American} [Primary Ingredient] {Chicken} [Flavor Profile] {Savory} [Meal Type] {Lunch}
7184,[Dish Type] {Bread} [Cuisine] {American} [Primary Ingredient] {Flour} [Flavor Profile] {Neutral} [Meal Type] {Breakfast}
25198,[Dish Type] {Meatloaf} [Cuisine] {American} [Primary Ingredient] {Ground Beef} [Flavor Profile] {Savory} [Meal Type] {Dinner}
15184,[Dish Type] {Stuffed Mushrooms} [Cuisine] {American} [Primary Ingredient] {Mushrooms} [Flavor Profile] {Savory} [Meal Type] {Appetizer}
17136,[Dish Type] {Chicken} [Cuisine] {American} [Primary Ingredient] {Chicken} [Flavor Profile] {Sweet and Sour} [Meal Type] {Dinner}
21491,[Dish Type] {Pasta Salad} [Cuisine] {American} [Primary Ingredient] {Pasta} [Flavor Profile] {Tangy} [Meal Type] {Side Dish}
15155,[Dish Type] {Salsa} [Cuisine] {Mexican} [Primary Ingredient] {Tomatoes} [Flavor Profile] {Spicy} [Meal Type] {Appetizer}
16868,[Dish Type] {Pizza} [Cuisine] {Italian} [Primary Ingredient] {Cheese} [Flavor Profile] {Savory} [Meal Type] {Dinner}
59671,[Dish Type] {Side Dish} [Cuisine] {American} [Primary Ingredient] {Asparagus} [Flavor Profile] {Herbaceous} [Meal Type] {Lunch}
19422,[Dish Type] {Macaroni and Cheese} [Cuisine] {American} [Primary Ingredient] {Cheese} [Flavor Profile] {Savory} [Meal Type] {Dinner}
10118,[Dish Type] {Cake} [Cuisine] {American} [Primary Ingredient] {Chocolate} [Flavor Profile] {Sweet} [Meal Type] {Snack}
111924,[Dish Type] {Muffin} [Cuisine] {American} [Primary Ingredient] {Apple} [Flavor Profile] {Spicy} [Meal Type] {Breakfast}
45784,[Dish Type] {Rice} [Cuisine] {Asian} [Primary Ingredient] {Mushrooms} [Flavor Profile] {Umami} [Meal Type] {Dinner}
46908,[Dish Type] {Stir-Fry} [Cuisine] {Chinese} [Primary Ingredient] {Chicken} [Flavor Profile] {Sweet and Spicy} [Meal Type] {Dinner}
14759,[Dish Type] {Dumplings} [Cuisine] {Chinese} [Primary Ingredient] {Meat} [Flavor Profile] {Savory} [Meal Type] {Dinner}
214079,[Dish Type] {Side Dish} [Cuisine] {American} [Primary Ingredient] {Carrots} [Flavor Profile] {Sweet} [Meal Type] {Lunch}
15360,[Dish Type] {Stew} [Cuisine] {American} [Primary Ingredient] {Beef} [Flavor Profile] {Savory} [Meal Type] {Dinner}
27072,[Dish Type] {Rice} [Cuisine] {Mexican} [Primary Ingredient] {Tomatoes} [Flavor Profile] {Spicy} [Meal Type] {Lunch}
