asin,result
40480,"[Dish Type] {Hummus} [Cuisine] {Middle Eastern} [Primary Ingredient] {Chickpeas} [Flavor Profile] {Spicy, Earthy} [Meal Type] {Appetizer}"
16235,"[Dish Type] {Chili} [Cuisine] {American} [Primary Ingredient] {Beans} [Flavor Profile] {Spicy, Sweet} [Meal Type] {Lunch}"
8683,[Dish Type] {Chicken} [Cuisine] {American} [Primary Ingredient] {Chicken} [Flavor Profile] {Savory} [Meal Type] {Main Course}
16881,"[Dish Type] {Lasagna} [Cuisine] {American} [Primary Ingredient] {Ground Beef} [Flavor Profile] {Spicy, Sweet} [Meal Type] {Main Course}"
31519,"[Dish Type] {Fries} [Cuisine] {American} [Primary Ingredient] {Potatoes} [Flavor Profile] {Spicy, Savory} [Meal Type] {Appetizer}"
10938,[Dish Type] {Chocolate Bar} [Cuisine] {American} [Primary Ingredient] {Nuts} [Flavor Profile] {Sweet} [Meal Type] {Snack}
214992,"[Dish Type] {Taco} [Cuisine] {Mexican} [Primary Ingredient] {Pork} [Flavor Profile] {Sweet, Savory, Tangy} [Meal Type] {Appetizer}"
18085,"[Dish Type] {Potato Salad} [Cuisine] {American} [Primary Ingredient] {Potatoes} [Flavor Profile] {Sweet, Salty, Tangy} [Meal Type] {Side Dish}"
9450,[Dish Type] {Cookies} [Cuisine] {American} [Primary Ingredient] {Bread} [Flavor Profile] {Sweet} [Meal Type] {Snack}
13112,"[Dish Type] {Soup} [Cuisine] {European} [Primary Ingredient] {Asparagus} [Flavor Profile] {Creamy, Fresh} [Meal Type] {Dinner}"
25665,"[Dish Type] {Cauliflower Soup} [Cuisine] {American} [Primary Ingredient] {Cauliflower} [Flavor Profile] {Creamy, Savory, Spicy} [Meal Type] {Dinner}"
18535,"[Dish Type] {Casserole} [Cuisine] {American} [Primary Ingredient] {Pumpkin} [Flavor Profile] {Sweet, Spicy} [Meal Type] {Dinner}"
16610,[Dish Type] {Casserole} [Cuisine] {American} [Primary Ingredient] {Cream} [Flavor Profile] {Creamy} [Meal Type] {Side Dish}
8025,"[Dish Type] {Chocolate Cake} [Cuisine] {American} [Primary Ingredient] {Chocolate} [Flavor Profile] {Rich, Sweet} [Meal Type] {Dessert}"
9857,[Dish Type] {Meringue} [Cuisine] {American} [Primary Ingredient] {Sugar} [Flavor Profile] {Sweet} [Meal Type] {Dessert}
44839,"[Dish Type] {Burger} [Cuisine] {American} [Primary Ingredient] {Patty} [Flavor Profile] {Savory, Sweet} [Meal Type] {Lunch}"
25354,[Dish Type] {Muffin} [Cuisine] {American} [Primary Ingredient] {Eggs} [Flavor Profile] {Savory} [Meal Type] {Breakfast}
10040,[Dish Type] {Bar Cookie} [Cuisine] {American} [Primary Ingredient] {Chocolate} [Flavor Profile] {Sweet} [Meal Type] {Snack}
74037,"[Dish Type] {Steak} [Cuisine] {American} [Primary Ingredient] {Pork} [Flavor Profile] {Sweet, Savory} [Meal Type] {Main Course}"
6820,"[Dish Type] {Pumpkin Bread} [Cuisine] {American} [Primary Ingredient] {Pumpkin} [Flavor Profile] {Sweet, Spicy} [Meal Type] {Breakfast, Dessert}"
79470,"[Dish Type] {Scones} [Cuisine] {British} [Primary Ingredient] {Cranberries} [Flavor Profile] {Sweet, Tangy} [Meal Type] {Breakfast}"
7542,[Dish Type] {Cupcakes} [Cuisine] {American} [Primary Ingredient] {Flour} [Flavor Profile] {Sweet} [Meal Type] {Dessert}
19009,[Dish Type] {Cake} [Cuisine] {American} [Primary Ingredient] {Chocolate} [Flavor Profile] {Sweet} [Meal Type] {Dessert}
15063,[Dish Type] {Chicken} [Cuisine] {American} [Primary Ingredient] {Chicken} [Flavor Profile] {Savory} [Meal Type] {Main Course}
13423,[Dish Type] {Chili} [Cuisine] {American} [Primary Ingredient] {Tofu} [Flavor Profile] {Spicy} [Meal Type] {Dinner}
21291,"[Dish Type] {Pork Chop} [Cuisine] {American} [Primary Ingredient] {Pork} [Flavor Profile] {Sweet, Savory} [Meal Type] {Main Course}"
218929,"[Dish Type] {Oatmeal} [Cuisine] {American} [Primary Ingredient] {Oats} [Flavor Profile] {Sweet, Caramelized} [Meal Type] {Breakfast}"
70343,"[Dish Type] {Soup} [Cuisine] {Mexican} [Primary Ingredient] {Chicken} [Flavor Profile] {Spicy, Tangy} [Meal Type] {Lunch}"
33385,"[Dish Type] {Rice} [Cuisine] {Mexican} [Primary Ingredient] {Rice} [Flavor Profile] {Sweet, Spicy} [Meal Type] {Side Dish}"
49552,"[Dish Type] {Quinoa Salad} [Cuisine] {American} [Primary Ingredient] {Quinoa} [Flavor Profile] {Sweet, Savory} [Meal Type] {Lunch}"
23567,"[Dish Type] {Stir-Fry} [Cuisine] {American} [Primary Ingredient] {Beef} [Flavor Profile] {Savory, Sweet} [Meal Type] {Main Course}"
83557,"[Dish Type] {Roast Chicken} [Cuisine] {American} [Primary Ingredient] {Chicken} [Flavor Profile] {Sweet, Savory, Rich} [Meal Type] {Main Course}"
43941,"[Dish Type] {Biscotti} [Cuisine] {Italian} [Primary Ingredient] {Biscotti} [Flavor Profile] {Sweet, Caramel} [Meal Type] {Snack}"
6905,[Dish Type] {Scones} [Cuisine] {American} [Primary Ingredient] {Flour} [Flavor Profile] {Sweet} [Meal Type] {Breakfast}
73963,"[Dish Type] {Pasta Salad} [Cuisine] {Italian} [Primary Ingredient] {Fusilli} [Flavor Profile] {Sweet, Sour, Tangy} [Meal Type] {Lunch}"
22137,[Dish Type] {Trifle} [Cuisine] {American} [Primary Ingredient] {Strawberries} [Flavor Profile] {Sweet} [Meal Type] {Dessert}
22911,[Dish Type] {Dip} [Cuisine] {American} [Primary Ingredient] {Fruit} [Flavor Profile] {Sweet} [Meal Type] {Snack}
18351,"[Dish Type] {Spaghetti} [Cuisine] {Italian} [Primary Ingredient] {Zucchini} [Flavor Profile] {Savory, Fresh} [Meal Type] {Lunch}"
23847,"[Dish Type] {Spaghetti} [Cuisine] {Italian} [Primary Ingredient] {Tomatoes} [Flavor Profile] {Sweet, Tangy} [Meal Type] {Lunch}"
16066,"[Dish Type] {Steak} [Cuisine] {American} [Primary Ingredient] {Beef} [Flavor Profile] {Rich, savory} [Meal Type] {Main Course}"
21672,[Dish Type] {Ham and Potatoes} [Cuisine] {American} [Primary Ingredient] {Ham} [Flavor Profile] {Sweet and Savory} [Meal Type] {Lunch}
11758,[Dish Type] {Lasagna} [Cuisine] {Italian} [Primary Ingredient] {Pasta} [Flavor Profile] {Savory} [Meal Type] {Main Course}
87434,"[Dish Type] {Pork Chop} [Cuisine] {American} [Primary Ingredient] {Pork} [Flavor Profile] {Sweet, Savory} [Meal Type] {Main Course}"
191275,[Dish Type] {Cake} [Cuisine] {Western} [Primary Ingredient] {Fondant} [Flavor Profile] {Sweet} [Meal Type] {Dessert}
9661,[Dish Type] {Blondies} [Cuisine] {American} [Primary Ingredient] {Chocolate} [Flavor Profile] {Sweet} [Meal Type] {Snack}
16607,[Dish Type] {Brownie} [Cuisine] {American} [Primary Ingredient] {Chocolate} [Flavor Profile] {Sweet} [Meal Type] {Dessert}
19541,"[Dish Type] {Roasted Sweet Potato} [Cuisine] {American} [Primary Ingredient] {Sweet Potato} [Flavor Profile] {Sweet, Nutty, Caramelized} [Meal Type] {Side Dish}"
26472,[Dish Type] {Soup} [Cuisine] {American} [Primary Ingredient] {Pork} [Flavor Profile] {Savory} [Meal Type] {Lunch}
11814,"[Dish Type] {Spaghetti} [Cuisine] {Italian} [Primary Ingredient] {Shrimp} [Flavor Profile] {Creamy, Savory} [Meal Type] {Dinner}"
8509,"[Dish Type] {Fried Chicken} [Cuisine] {American} [Primary Ingredient] {Chicken} [Flavor Profile] {Crunchy, Savory} [Meal Type] {Appetizer}"
11966,[Dish Type] {Sauce} [Cuisine] {Italian} [Primary Ingredient] {Tomato} [Flavor Profile] {Sweet} [Meal Type] {Side Dish}
16845,[Dish Type] {Dip} [Cuisine] {American} [Primary Ingredient] {Taco} [Flavor Profile] {Spicy} [Meal Type] {Snack}
83727,"[Dish Type] {Sauerkraut} [Cuisine] {German} [Primary Ingredient] {Red Cabbage} [Flavor Profile] {Sweet, Sour, Spicy} [Meal Type] {Side Dish}"
26284,"[Dish Type] {Pasta} [Cuisine] {Italian} [Primary Ingredient] {Chicken} [Flavor Profile] {Creamy, Herby} [Meal Type] {Dinner}"
25197,[Dish Type] {Stir-Fry} [Cuisine] {Chinese} [Primary Ingredient] {Meatballs} [Flavor Profile] {Sweet and Sour} [Meal Type] {Main Course}
24059,[Dish Type] {Rice} [Cuisine] {Spanish} [Primary Ingredient] {Raisins} [Flavor Profile] {Sweet} [Meal Type] {Dinner}
18448,"[Dish Type] {Soup} [Cuisine] {American} [Primary Ingredient] {Chicken} [Flavor Profile] {Creamy, Savory} [Meal Type] {Lunch}"
7184,[Dish Type] {Baked Goods} [Cuisine] {American} [Primary Ingredient] {Flour} [Flavor Profile] {Light} [Meal Type] {Breakfast}
25198,[Dish Type] {Meatloaf} [Cuisine] {American} [Primary Ingredient] {Ground Meat} [Flavor Profile] {Sweet and Savory} [Meal Type] {Main Course}
15184,"[Dish Type] {Stuffed Mushrooms} [Cuisine] {American} [Primary Ingredient] {Mushrooms} [Flavor Profile] {Creamy, Savory} [Meal Type] {Appetizer}"
17136,"[Dish Type] {Chicken} [Cuisine] {American} [Primary Ingredient] {Chicken} [Flavor Profile] {Sweet, Slightly Sweet} [Meal Type] {Main Course}"
21491,[Dish Type] {Salad} [Cuisine] {American} [Primary Ingredient] {Pasta} [Flavor Profile] {Creamy} [Meal Type] {Appetizer}
15155,"[Dish Type] {Salsa} [Cuisine] {Mexican} [Primary Ingredient] {Tomato} [Flavor Profile] {Sweet, Tangy} [Meal Type] {Appetizer}"
16868,[Dish Type] {Dip} [Cuisine] {American} [Primary Ingredient] {Pasta} [Flavor Profile] {Spicy} [Meal Type] {Appetizer}
59671,"[Dish Type] {Asparagus} [Cuisine] {American} [Primary Ingredient] {Asparagus} [Flavor Profile] {Savory, Sweet} [Meal Type] {Side Dish}"
