asin,result
40480,[Dish Type] {Mash} [Cuisine] {American} [Primary Ingredient] {Sweet Potato} [Flavor Profile] {Earthly} [Meal Type] {Side Dish}
asin,result
16235,[Dish Type] {Chili} [Cuisine] {American} [Primary Ingredient] {Beans} [Flavor Profile] {Spicy} [Meal Type] {Dinner}
asin,result
8683,[Dish Type] {Main Course} [Cuisine] {American} [Primary Ingredient] {Chicken} [Flavor Profile] {Rich} [Meal Type] {Dinner}
asin,result
16881,[Dish Type] {Enchilada} [Cuisine] {Mexican} [Primary Ingredient] {Cheese} [Flavor Profile] {Spicy-Savory} [Meal Type] {Main Course}
asin,result
31519,[Dish Type] {Sandwich} [Cuisine] {American} [Primary Ingredient] {Potato} [Flavor Profile] {Spiced} [Meal Type] {Lunch}
asin,result
10938,[Dish Type] {Bite-Sized Dessert} [Cuisine] {American} [Primary Ingredient] {Chocolate} [Flavor Profile] {Rich and Nutty} [Meal Type] {Snack}
asin,result
214992,[Dish Type] {Taco} [Cuisine] {Mexican} [Primary Ingredient] {Chicken} [Flavor Profile] {Fresh and Zesty} [Meal Type] {Lunch}
asin,result
18085,[Dish Type] {Side Dish} [Cuisine] {American} [Primary Ingredient] {Potatoes} [Flavor Profile] {Savory} [Meal Type] {Lunch}
asin,result
9450,[Dish Type] {Snack} [Cuisine] {American} [Primary Ingredient] {Peanut} [Flavor Profile] {Salty} [Meal Type] {Afternoon}
asin,result
13112,[Dish Type] {Soup} [Cuisine] {European} [Primary Ingredient] {Asparagus} [Flavor Profile] {Fresh} [Meal Type] {Lunch}
asin,result
25665,[Dish Type] {Soup} [Cuisine] {American} [Primary Ingredient] {Potatoes} [Flavor Profile] {Creamy} [Meal Type] {Dinner}
asin,result
18535,[Dish Type] {Bread Pudding} [Cuisine] {American} [Primary Ingredient] {Pumpkin} [Flavor Profile] {Sweet} [Meal Type] {Breakfast}
asin,result
16610,[Dish Type] {Casserole} [Cuisine] {American} [Primary Ingredient] {Broccoli} [Flavor Profile] {Creamy} [Meal Type] {Dinner}
asin,result
8025,[Dish Type] {Dessert} [Cuisine] {American} [Primary Ingredient] {Chocolate} [Flavor Profile] {Sweet} [Meal Type] {Dessert}
asin,result
9857,[Dish Type] {Meringue} [Cuisine] {American} [Primary Ingredient] {Egg White} [Flavor Profile] {Sweet} [Meal Type] {Dessert}
asin,result
44839,[Dish Type] {Hamburger} [Cuisine] {American} [Primary Ingredient] {Beef Patty} [Flavor Profile] {Savory} [Meal Type] {Lunch}
asin,result
25354,[Dish Type] {Muffin} [Cuisine] {American} [Primary Ingredient] {Potato} [Flavor Profile] {Earthy} [Meal Type] {Breakfast}
asin,result
10040,[Dish Type] {Bar} [Cuisine] {Dessert} [Primary Ingredient] {Chocolate} [Flavor Profile] {Sweet} [Meal Type] {Snack}
asin,result
74037,[Dish Type] {Meat} [Cuisine] {French} [Primary Ingredient] {Pork} [Flavor Profile] {Rich} [Meal Type] {Dinner}
asin,result
6820,[Dish Type] {Bread} [Cuisine] {American} [Primary Ingredient] {Pumpkin} [Flavor Profile] {Sweet} [Meal Type] {Breakfast}
asin,result
79470,[Dish Type] {Scone} [Cuisine] {British} [Primary Ingredient] {Cranberry} [Flavor Profile] {Sweet} [Meal Type] {Breakfast}
asin,result
7542,[Dish Type] {Cupcake} [Cuisine] {American} [Primary Ingredient] {Buttercream} [Flavor Profile] {Sweet} [Meal Type] {Snack}
asin,result
19009,[Dish Type] {Dessert} [Cuisine] {Italian} [Primary Ingredient] {Chocolate} [Flavor Profile] {Rich} [Meal Type] {Afternoon Tea}
asin,result
15063,[Dish Type] {Chicken} [Cuisine] {American} [Primary Ingredient] {Chicken Breast} [Flavor Profile] {Crispy} [Meal Type] {Main Course}
asin,result
13423,[Dish Type] {Chili} [Cuisine] {American} [Primary Ingredient] {Beef} [Flavor Profile] {Spicy} [Meal Type] {Dinner}
asin,result
21291,[Dish Type] {Stew} [Cuisine] {American} [Primary Ingredient] {Chicken} [Flavor Profile] {Savory-Sweet} [Meal Type] {Main Course}
asin,result
218929,[Dish Type] {Oatmeal} [Cuisine] {American} [Primary Ingredient] {Oats} [Flavor Profile] {Sweet} [Meal Type] {Breakfast}
asin,result
70343,[Dish Type] {Soup} [Cuisine] {Mexican} [Primary Ingredient] {Chicken} [Flavor Profile] {Spicy} [Meal Type] {Lunch}
asin,result
33385,[Dish Type] {Rice Dish} [Cuisine] {Mexican} [Primary Ingredient] {Rice} [Flavor Profile] {Spicy} [Meal Type] {Main Course}
asin,result
49552,[Dish Type] {Salad} [Cuisine] {Mexican} [Primary Ingredient] {Quinoa} [Flavor Profile] {Earthy} [Meal Type] {Lunch}
asin,result
23567,[Dish Type] {Stew} [Cuisine] {Middle Eastern} [Primary Ingredient] {Beef} [Flavor Profile] {Spicy} [Meal Type] {Main Course}
asin,result
83557,[Dish Type] {Roast Chicken} [Cuisine] {Western} [Primary Ingredient] {Chicken} [Flavor Profile] {Savory} [Meal Type] {Dinner}
asin,result
43941,[Dish Type] {Dessert} [Cuisine] {Italian} [Primary Ingredient] {Almond} [Flavor Profile] {Sweet} [Meal Type] {Afternoon Tea}
asin,result
6905,[Dish Type] {Bread} [Cuisine] {American} [Primary Ingredient] {Flour} [Flavor Profile] {Sweet} [Meal Type] {Breakfast}
asin,result
73963,[Dish Type] {Pasta Salad} [Cuisine] {Italian} [Primary Ingredient] {Pasta} [Flavor Profile] {Fresh & Zesty} [Meal Type] {Lunch}
asin,result
22137,[Dish Type] {Trifle} [Cuisine] {American} [Primary Ingredient] {Strawberry} [Flavor Profile] {Sweet} [Meal Type] {Dessert}
asin,result
22911,[Dish Type] {Dessert} [Cuisine] {American} [Primary Ingredient] {Yogurt} [Flavor Profile] {Sweet} [Meal Type] {Snack}
asin,result
18351,[Dish Type] {Pasta} [Cuisine] {Italian} [Primary Ingredient] {Tomato} [Flavor Profile] {Fresh} [Meal Type] {Dinner}
asin,result
23847,[Dish Type] {Spaghetti} [Cuisine] {Italian} [Primary Ingredient] {Tomato} [Flavor Profile] {Savory} [Meal Type] {Dinner}
asin,result
16066,[Dish Type] {Meat Dish} [Cuisine] {American} [Primary Ingredient] {Pork} [Flavor Profile] {Rich} [Meal Type] {Dinner}
asin,result
21672,[Dish Type] {Main Course} [Cuisine] {American} [Primary Ingredient] {Ham} [Flavor Profile] {Sweet & Savory} [Meal Type] {Lunch}
asin,result
11758,[Dish Type] {Lasagna} [Cuisine] {Italian} [Primary Ingredient] {Cheese} [Flavor Profile] {Savory} [Meal Type] {Dinner}
asin,result
87434,[Dish Type] {Grilled Protein} [Cuisine] {American} [Primary Ingredient] {Chicken} [Flavor Profile] {Smoky} [Meal Type] {Main Course}
asin,result
191275,[Dish Type] {Cake} [Cuisine] {Bakery} [Primary Ingredient] {Frosting} [Flavor Profile] {Sweet} [Meal Type] {Celebration}
asin,result
9661,[Dish Type] {Bar} [Cuisine] {American} [Primary Ingredient] {Peanut Butter} [Flavor Profile] {Sweet} [Meal Type] {Snack}
asin,result
