asin,result
B09BC2LJJD,"['[Category] {Baby Care}, [Age Group] {Infant}, [Purpose] {Healing Ointment}, [Material] {Silicone}, [Usage Context] {Home}']"
B09TCKKDFC,"['[Category] {Baby Products}, [Age Group] {Infant}, [Purpose] {Comfort}, [Material] {Silicone}, [Usage Context] {Home}']"
B00AGJFNCA,"['[Category] {Car Seat}, [Age Group] {Infant}, [Purpose] {Safety}, [Material] {Plastic}, [Usage Context] {Travel}']"
B01416HEHA,"['[Category] {Diaper}, [Age Group] {Infant}, [Purpose] {Hygiene}, [Material] {Silicone}, [Usage Context] {Home}']"
B07TSG87YD,"['[Category] {Diapers}, [Age Group] {Infant}, [Purpose] {Hygiene}, [Material] {Silicone}, [Usage Context] {Home}']"
B0C4N1Q324,"['[Category] {Baby Products}, [Age Group] {0+}, [Purpose] {Stroller Clips}, [Material] {Plastic}, [Usage Context] {Shopping, Diaper Bags, Handbags, Toys}']"
B012KUCR30,"['[Category] {Baby Products}, [Age Group] {Infant}, [Purpose] {Hygiene}, [Material] {Silicone}, [Usage Context] {Home}']"
B0787J6R3J,"['[Category] {Diaper}, [Age Group] {Infant}, [Purpose] {Hygiene}, [Material] {Silicone}, [Usage Context] {Home}']"
B01MDR7DHR,"['[Category] {Baby Products}, [Age Group] {Infant}, [Purpose] {Feeding}, [Material] {Plastic}, [Usage Context] {Home}']"
B0144A6BYA,"['[Category] {Baby Care}, [Age Group] {Infant}, [Purpose] {Hygiene}, [Material] {Plastic}, [Usage Context] {Home}']"
B07K7VH3KS,"['[Category] {Baby Products}, [Age Group] {Infant}, [Purpose] {Safety}, [Material] {Plastic}, [Usage Context] {Home}']"
B09GMYTL3F,"['[Category] {Car Seat}, [Age Group] {Infant}, [Purpose] {Safety}, [Material] {Plastic}, [Usage Context] {Home}']"
B09NB7M1C7,"['[Category] {Mattress}, [Age Group] {Infant}, [Purpose] {Sleep}, [Material] {Memory Foam}, [Usage Context] {Nursery}']"
B08WVG8HN2,"['[Category] {Diaper}, [Age Group] {Infant}, [Purpose] {Hygiene}, [Material] {Silicone}, [Usage Context] {Home}']"
B08ZKKHH7S,"['[Category] {Diapers}, [Age Group] {Infant}, [Purpose] {Hygiene}, [Material] {Silicone}, [Usage Context] {Home}']"
B0BK78NVVS,"['[Category] {Baby Products}, [Age Group] {Infant}, [Purpose] {Hygiene}, [Material] {Silicone}, [Usage Context] {Home}']"
B0BXTNL2NY,"['[Category] {Shampoo}, [Age Group] {Infant}, [Purpose] {Hygiene}, [Material] {Silicone}, [Usage Context] {Home}']"
B01M01N48V,"['[Category] {Baby Monitor}, [Age Group] {Infant}, [Purpose] {Surveillance}, [Material] {Plastic}, [Usage Context] {Home}']"
B07CJHG87L,"['[Category] {Baby Monitor}, [Age Group] {Infant}, [Purpose] {Monitoring}, [Material] {Plastic}, [Usage Context] {Home}']"
B08VX4FGCL,"['[Category] {Stroller}, [Age Group] {Infant}, [Purpose] {Transport}, [Material] {Plastic}, [Usage Context] {Outdoor}']"
B00A0ID90A,"['[Category] {Toilet}, [Age Group] {Infant}, [Purpose] {Hygiene}, [Material] {Plastic}, [Usage Context] {Home}']"
B0BW5KRPSX,"['[Category] {Baby Products}, [Age Group] {Infant}, [Purpose] {Teething Relief}, [Material] {Silicone}, [Usage Context] {Home}.']"
B07CR1MJ29,"['[Category] {Baby Products}, [Age Group] {Infant}, [Purpose] {Hygiene}, [Material] {Silicone}, [Usage Context] {Home}']"
