asin,result
B09BC2LJJD,"[Category] {Baby Care}, [Age Group] {Infant}, [Purpose] {Healing}, [Material] {Glass}, [Usage Context] {Home}"
B09TCKKDFC,"[Category] {Baby Products}, [Age Group] {Infant}, [Purpose] {Sleeping}, [Material] {Cotton}, [Usage Context] {Home}"
B00AGJFNCA,"[Category] {Child Safety}, [Age Group] {Children}, [Purpose] {Visibility}, [Material] {Plastic}, [Usage Context] {Vehicle}"
B01416HEHA,"[Category] {Sleeping}, [Age Group] {Infant}, [Purpose] {Comfort & Safety}, [Material] {Cotton}, [Usage Context] {Home}"
B07TSG87YD,"[Category] {Diapers}, [Age Group] {Toddler}, [Purpose] {Absorption}, [Material] {Absorbent Polymer}, [Usage Context] {Home}"
B0C4N1Q324,"[Category] {Baby Accessories}, [Age Group] {Infant}, [Purpose] {Attachment}, [Material] {Fabric & Metal}, [Usage Context] {Outdoor & Indoor}"
B012KUCR30,"[Category] {Teether}, [Age Group] {Infant}, [Purpose] {Teething Relief}, [Material] {Silicone}, [Usage Context] {Home}"
B0787J6R3J,"[Category] {Diaper Bag}, [Age Group] {Infant}, [Purpose] {Storage}, [Material] {Fabric}, [Usage Context] {Home}"
B01MDR7DHR,"[Category] {Baby Bottle}, [Age Group] {Infant}, [Purpose] {Feeding}, [Material] {Plastic}, [Usage Context] {Home}"
B0144A6BYA,"[Category] {Medication Administration}, [Age Group] {Infant}, [Purpose] {Safe Medication Delivery}, [Material] {Plastic}, [Usage Context] {Home}"
B07K7VH3KS,"[Category] {Safety}, [Age Group] {Toddler}, [Purpose] {Gate Installation}, [Material] {Metal}, [Usage Context] {Home}"
B09GMYTL3F,"[Category] {Car Seat}, [Age Group] {Toddler}, [Purpose] {Safety}, [Material] {Fabric}, [Usage Context] {Vehicle}"
B09NB7M1C7,"[Category] {Bedding}, [Age Group] {Infant}, [Purpose] {Protection}, [Material] {Cotton}, [Usage Context] {Home}"
B08WVG8HN2,"[Category] {Sleeping Gear}, [Age Group] {Infant}, [Purpose] {Comfort & Safety}, [Material] {Cotton}, [Usage Context] {Bedroom}"
B08ZKKHH7S,"[Category] {Baby Bib}, [Age Group] {Infant}, [Purpose] {Teething & Feeding}, [Material] {Cotton & Silicone}, [Usage Context] {Home}"
B0BK78NVVS,"[Category] {Baby Care}, [Age Group] {Infant}, [Purpose] {Dusting}, [Material] {Natural}, [Usage Context] {Home}"
B0BXTNL2NY,"[Category] {Baby Care}, [Age Group] {Infant}, [Purpose] {Hygiene}, [Material] {Plastic}, [Usage Context] {Home}"
B01M01N48V,"[Category] {Baby Monitor}, [Age Group] {Infant}, [Purpose] {Surveillance}, [Material] {Plastic}, [Usage Context] {Home}"
B07CJHG87L,"[Category] {Baby Monitor}, [Age Group] {Infant}, [Purpose] {Surveillance}, [Material] {Plastic}, [Usage Context] {Home}"
B08VX4FGCL,"[Category] {Stroller}, [Age Group] {Infant}, [Purpose] {Transportation}, [Material] {Metal and Fabric}, [Usage Context] {Outdoor}"
B00A0ID90A,"[Category] {Toilet Training}, [Age Group] {Toddler}, [Purpose] {Hygiene}, [Material] {Plastic}, [Usage Context] {Home}"
B0BW5KRPSX,"[Category] {Teething Relief}, [Age Group] {Infant}, [Purpose] {Pain Relief}, [Material] {Plant-Based}, [Usage Context] {Home}"
B07CR1MJ29,"[Category] {Baby}, [Age Group] {Infant}, [Purpose] {Hygiene}, [Material] {Plastic}, [Usage Context] {Home}"
B07XLWMXCS,"[Category] {Baby}, [Age Group] {Infant}, [Purpose] {Storage}, [Material] {Fabric}, [Usage Context] {Home}"
B0C66LKVB9,"[Category] {Baby Bottles}, [Age Group] {Infant}, [Purpose] {Feeding}, [Material] {Glass}, [Usage Context] {Home}"
B0B6JS97TT,"[Category] {Toy}, [Age Group] {0-3 Years}, [Purpose] {Entertainment}, [Material] {Plush}, [Usage Context] {Bedroom}"
B005OOXRHK,"[Category] {Baby}, [Age Group] {Infant}, [Purpose] {Sleep}, [Material] {Cotton}, [Usage Context] {Home}"
B071JVXQSV,"[Category] {Sleepwear}, [Age Group] {Infant}, [Purpose] {Comfort}, [Material] {Cotton}, [Usage Context] {Bedroom}"
B0BW8LFC6V,"[Category] {Baby Care}, [Age Group] {Newborn}, [Purpose] {Hydration & Moisturizing}, [Material] {Plastic}, [Usage Context] {Home}"
B07GBTFRQZ,"[Category] {Storage}, [Age Group] {Toddler}, [Purpose] {Organization}, [Material] {Fabric}, [Usage Context] {Home}"
B00F18FN8U,"[Category] {Baby Mattress}, [Age Group] {Infant}, [Purpose] {Sleep Support}, [Material] {Cotton}, [Usage Context] {Home}"
B01M0IGQN2,"[Category] {Toys}, [Age Group] {Toddler}, [Purpose] {Creative Play}, [Material] {Paper, Fabric, Plastic}, [Usage Context] {Home}"
B07G74YSQ1,"[Category] {Baby}, [Age Group] {Infant}, [Purpose] {Protection}, [Material] {Fabric}, [Usage Context] {Home}"
B075XQ2XYV,"[Category] {Safety Gate}, [Age Group] {Infant}, [Purpose] {Child Safety}, [Material] {Wooden Frame with Metal Mesh}, [Usage Context] {Home}"
B08CVV5L52,"[Category] {Baby Blanket}, [Age Group] {Toddler}, [Purpose] {Comfort}, [Material] {Cotton}, [Usage Context] {Bedroom}"
B0BPM6K75C,"[Category] {Baby Care}, [Age Group] {Infant}, [Purpose] {Grooming}, [Material] {Silicone}, [Usage Context] {Home}"
B0BFJZHQ1Z,"[Category] {Diaper Care}, [Age Group] {Infant}, [Purpose] {Skin Protection}, [Material] {Ointment}, [Usage Context] {Home}"
B09K4VPPZD,"[Category] {Baby Utensils}, [Age Group] {Infant}, [Purpose] {Feeding}, [Material] {Silicone}, [Usage Context] {Home}"
B07D1PPB68,"[Category] {Baby Care}, [Age Group] {Infant}, [Purpose] {Nose Clearance}, [Material] {Plastic}, [Usage Context] {Home}"
B098RMQD1Q,"[Category] {Baby Gear}, [Age Group] {0-12 Months}, [Purpose] {Teething}, [Material] {Silicone}, [Usage Context] {Home}"
B0BCSPWQZ9,"[Category] {Breastfeeding}, [Age Group] {Infant}, [Purpose] {Milk Collection}, [Material] {Silicone}, [Usage Context] {Home}"
B0BZ1954P4,"[Category] {Car Seat}, [Age Group] {Toddler}, [Purpose] {Safety}, [Material] {Fabric}, [Usage Context] {Vehicle}"
B0BFNDQCD5,"[Category] {Stickers}, [Age Group] {Toddler}, [Purpose] {Decorative}, [Material] {Vinyl}, [Usage Context] {Room}"
