asin,result
1278,"""Mel Brooks' Young Frankenstein poster features a gothic castle, a mad scientist, and a creature, with a dark, eerie atmosphere."""
1171,"Bob Roberts movie poster features a man wrapped in an American flag, a guitar, and the tagline ""Vote First, Ask Questions Later."""
3911,"""Best in Show"" movie poster features a group of people with dogs, showcasing a blue ribbon, set against a white background."
47,"""Seven"" movie poster featuring two men, one with a beard and the other with a bald head, set against a dark background with the title ""SEVEN"" in bold letters."
923,"""Citizen Kane"" movie poster features a man and woman in the foreground, with another woman in the background, set against a dark, dramatic backdrop."
3273,"A movie poster features a group of young people with a mysterious eye in the background, and the title ""Scream"" is prominently displayed."
899,"""Singin' in the Rain"" movie poster features three characters in yellow raincoats, colorful umbrellas, and boots, dancing in the rain."
2762,"The Sixth Sense movie poster features a young boy with a ghostly aura and a man in a suit, set against a dark background."
2000,"Lethal Weapon movie poster featuring Mel Gibson and Danny Glover, with a black and white design and a gun in the background."
2694,"""Big Daddy"" movie poster featuring a man and a child standing in front of a door, with bold red text."
2987,"A movie poster features a man in a car with a large, cartoonish face, a rabbit character, and a colorful, animated cityscape in the background."
2951,"A man in a cowboy hat and bandana stands in a desert, holding a gun, with the title ""A Fistful of Dollars"" prominently displayed."
2465,"A movie poster for ""Deadly Friend"" features a dark, eerie background with a light source illuminating a figure, creating a sense of mystery and suspense."
2279,"""Urban Legend"" movie poster features a collage of young faces with a cracked glass effect, an eye, and the film's title prominently displayed."
3618,"""Small Time Crooks"" movie poster features a silhouette of a man in a hat, holding a cigarette, with a red background and the title in bold red letters."
1258,"The image is a movie poster for ""The Shining,"" featuring a man with wild hair and a menacing expression, framed by vertical lines, with the film's title prominently displayed at the top."
2067,"""Doctor Zhivago"" movie poster features a couple in fur hats, with a snowy landscape and a group of people in the background."
1036,"""Die Hard"" movie poster featuring a man in a suit with a cityscape and a plane in the background, with the title ""Die Hard"" prominently displayed at the bottom."
1206,"A movie poster features a man in a white suit holding a knife, with a stylized triangle and the title ""A Clockwork Orange"" in bold, stylized text."
316,"""Stargate movie poster featuring a pyramid, a spaceship, and four characters in front of a glowing, circular portal."""
440,"A man in a suit and red coat stands in front of a grand white building with columns, likely the White House, as seen through open gates."
909,"""The Apartment"" movie poster features a man and woman in formal attire, with a framed picture of a couple in the background."
2318,"The poster features a group of people in suits, with the word ""Happiness"" prominently displayed above them, suggesting a theme related to work or corporate life."
