0	1	2
0	0	5
1	1	5
2	2	5
3	3	5
4	4	4
5	5	3
6	6	5
7	7	4
8	8	4
9	9	5
10	10	5
11	11	5
12	12	4
13	13	5
14	14	5
15	15	5
16	16	4
17	17	4
18	18	5
19	19	4
20	20	4
21	21	4
22	22	5
23	23	4
24	24	3
25	25	3
26	26	5
27	27	5
28	28	4
29	29	5
30	30	4
31	31	4
32	32	5
33	25	3
34	33	4
35	34	5
36	35	5
37	36	4
38	37	4
39	38	5
40	39	5
41	40	5
42	41	5
43	42	5
44	43	5
45	44	5
46	45	5
47	46	5
48	47	4
49	48	5
50	49	3
51	50	5
52	51	3
53	52	5
54	53	5
55	54	5
56	55	4
57	56	5
58	57	5
59	58	4
60	59	5
61	60	4
62	61	5
63	62	5
64	63	5
65	64	5
66	65	5
67	66	5
68	67	3
69	68	4
70	69	4
71	70	4
72	71	5
73	72	5
74	73	5
75	74	5
76	75	5
77	76	4
78	77	5
79	78	5
80	79	5
81	80	5
82	81	5
83	82	4
84	83	5
85	84	5
86	85	5
87	86	5
88	87	4
89	88	5
90	89	4
91	90	5
92	91	5
93	92	3
94	93	3
95	94	5
96	95	4
97	96	4
98	97	4
99	98	3
100	99	4
101	100	5
102	101	3
103	102	3
104	103	4
105	104	5
106	105	2
107	106	4
108	107	5
109	108	4
110	109	5
111	110	4
112	111	5
113	112	4
114	113	4
115	114	4
116	115	5
117	116	5
118	117	5
119	118	2
120	119	3
121	120	3
122	121	5
123	122	5
84	52	4
124	123	4
125	72	5
126	124	4
127	125	3
128	126	4
129	127	4
130	128	5
131	129	5
132	130	4
133	131	4
134	132	5
135	133	5
136	134	5
137	135	5
138	136	5
139	137	5
140	138	5
141	139	5
142	140	4
143	141	5
144	142	4
145	112	2
146	143	5
147	144	5
148	145	4
149	146	5
150	147	5
151	148	5
152	149	5
153	150	5
154	151	4
155	152	4
156	153	4
157	154	5
158	155	1
159	156	5
160	157	5
161	158	5
162	159	3
163	160	5
164	161	5
165	162	5
166	163	5
167	164	4
168	165	5
169	166	5
170	76	5
171	167	5
172	168	5
173	169	5
174	170	5
175	52	4
176	171	5
177	172	4
178	173	4
179	174	5
180	175	5
181	176	5
182	177	5
183	178	4
184	179	5
185	180	4
186	181	5
187	182	5
188	183	4
189	184	4
190	158	5
191	185	5
192	186	5
193	187	4
194	188	5
195	189	5
196	190	5
197	191	1
198	192	5
199	193	4
200	42	3
201	194	2
202	195	5
23	196	5
203	197	5
204	198	5
205	199	3
206	200	5
207	201	5
208	202	4
209	203	5
210	204	5
211	205	5
212	206	2
213	207	4
214	208	5
215	209	5
216	210	5
217	211	5
218	212	4
219	213	5
220	214	5
221	215	5
222	216	5
223	217	5
224	218	5
225	219	5
226	220	5
227	221	5
228	222	4
229	223	5
230	224	4
231	225	5
232	226	5
233	227	4
234	228	5
235	229	3
236	230	5
237	231	3
238	232	5
239	233	3
65	234	5
240	235	5
241	236	2
242	237	4
243	43	5
244	238	5
245	184	5
246	239	5
247	240	4
248	204	4
249	138	4
250	241	4
251	107	4
252	242	5
253	243	5
254	244	4
141	245	4
255	246	5
256	247	4
257	248	4
90	249	5
103	250	5
258	251	4
259	50	5
260	252	4
261	243	5
262	253	5
263	254	4
263	255	5
264	256	3
265	257	5
266	258	4
267	259	4
268	260	5
269	261	5
223	262	4
270	263	3
271	264	5
272	265	5
5	266	5
273	267	5
274	55	4
275	268	5
276	269	3
277	270	1
242	139	4
278	271	3
279	272	3
83	273	4
280	274	4
281	275	2
282	276	5
283	277	5
284	278	4
285	279	5
286	280	5
287	281	5
288	282	2
289	283	4
290	246	2
291	284	4
292	285	5
293	286	5
294	287	5
295	288	5
296	289	5
122	290	5
297	291	5
298	292	5
299	293	5
300	294	5
301	295	4
302	296	3
303	297	4
304	298	5
305	299	5
306	300	5
307	301	5
308	302	5
309	303	4
310	304	5
311	305	5
312	306	5
300	307	5
313	308	5
314	309	5
315	310	5
316	311	5
317	312	5
318	313	5
319	314	5
320	315	5
321	316	5
322	317	5
323	318	4
324	319	5
325	176	5
326	238	5
124	320	4
327	321	4
328	322	5
329	323	5
330	324	4
331	325	5
5	326	4
332	327	4
333	328	5
334	329	4
335	330	5
336	331	5
337	332	5
338	333	5
339	334	5
340	335	5
341	336	5
342	337	5
343	338	5
344	339	5
345	340	5
346	341	4
347	342	5
348	343	4
349	344	5
350	345	5
351	346	5
352	347	5
353	348	5
354	349	5
355	350	5
356	351	5
12	352	5
357	296	3
358	353	4
359	354	5
360	355	5
361	356	4
362	357	5
363	358	5
364	359	3
365	360	5
366	361	5
367	362	4
368	363	4
369	205	5
370	364	5
371	365	5
372	315	5
373	366	4
374	367	5
375	368	5
376	369	5
377	370	5
300	371	4
378	372	5
379	373	1
380	374	5
381	375	5
382	243	5
383	376	5
384	377	5
385	378	1
386	379	5
387	380	4
388	381	5
389	382	5
390	383	5
391	384	5
392	277	5
393	385	5
394	386	5
395	387	4
396	388	5
397	389	5
398	390	5
399	132	5
400	391	5
401	392	5
402	306	5
403	249	5
199	393	4
404	309	4
405	394	4
406	395	4
407	338	5
408	213	5
409	396	4
410	397	5
411	398	4
412	399	1
413	400	4
414	401	5
415	130	5
416	402	4
417	403	5
418	404	4
419	85	5
420	405	5
421	406	5
422	407	5
423	408	5
424	409	5
425	410	4
426	411	5
65	412	5
427	15	5
428	413	4
429	414	5
430	415	4
431	416	5
432	417	4
433	418	4
434	419	5
435	420	3
436	421	4
437	422	4
293	172	5
438	423	4
439	50	4
440	129	5
309	424	5
441	425	4
114	319	3
358	426	5
442	427	5
443	428	5
444	429	3
445	204	5
446	430	4
447	431	5
448	432	5
449	433	4
450	434	3
451	435	5
452	436	5
270	437	5
12	438	5
453	439	4
454	440	4
455	441	4
456	442	5
457	443	2
458	444	2
459	445	3
92	446	5
460	447	5
461	379	4
462	448	4
463	449	2
464	204	5
465	450	5
60	11	5
106	451	5
466	452	4
467	453	5
468	454	1
469	455	5
470	456	5
471	457	5
175	458	5
472	184	5
473	289	5
162	459	4
474	460	5
475	375	5
476	461	5
477	462	3
5	463	5
478	464	3
479	465	5
480	413	4
481	466	5
482	467	5
483	468	5
484	469	5
485	470	5
486	42	5
487	471	5
488	472	5
489	473	5
490	442	5
491	474	5
492	225	5
493	475	4
258	476	1
494	477	5
348	478	5
495	479	5
496	430	5
497	480	5
498	481	5
499	482	5
500	483	5
501	484	5
502	485	2
503	486	5
504	487	5
505	488	5
506	150	5
507	489	5
508	490	5
509	491	5
510	492	5
511	493	5
512	494	5
121	495	5
513	496	5
225	172	5
163	497	4
514	498	5
515	499	5
516	500	5
517	501	5
518	502	5
519	503	5
520	504	5
521	467	4
522	505	5
523	506	5
443	507	5
171	106	5
524	508	5
525	24	5
526	509	1
527	510	5
528	511	4
529	512	5
530	513	5
531	343	5
532	514	5
39	515	5
281	516	5
533	517	5
534	518	3
535	519	5
536	520	5
537	521	2
538	332	5
194	522	4
539	523	3
540	524	5
541	525	5
163	526	4
542	492	5
543	527	5
544	114	5
545	528	4
546	529	5
547	530	5
548	531	5
336	532	5
420	533	3
549	534	5
550	535	5
551	536	4
552	537	5
163	538	5
553	539	5
451	360	5
554	540	5
555	541	5
556	542	5
557	543	5
558	95	5
559	544	5
560	545	4
561	546	5
198	547	5
562	548	4
5	549	5
563	132	5
564	550	4
565	551	5
566	189	5
567	552	5
568	89	5
569	553	5
570	356	5
571	554	5
572	555	5
573	556	5
574	557	4
575	315	5
576	178	5
577	558	4
530	559	4
578	560	3
579	143	5
580	561	5
581	562	5
582	563	4
583	564	5
584	565	4
585	566	5
586	567	5
137	568	4
192	569	5
587	570	5
588	571	5
589	125	1
590	572	5
591	573	5
592	574	5
593	575	5
594	576	5
595	577	1
596	578	5
597	579	5
598	580	5
599	581	5
600	582	5
601	110	5
602	583	5
603	6	5
604	584	5
605	585	5
258	586	4
606	587	5
607	306	5
608	588	5
609	510	5
610	589	5
611	590	5
612	591	5
613	592	5
614	593	4
615	594	4
159	595	4
616	596	4
617	597	5
618	213	4
348	419	5
619	598	4
620	599	3
621	600	5
622	601	4
623	89	5
624	602	4
597	603	4
625	604	5
626	605	5
627	606	4
628	607	4
629	608	4
630	609	5
631	204	5
427	610	2
632	611	5
633	340	5
634	179	5
635	612	5
636	613	4
637	575	4
425	614	5
638	144	4
639	496	5
640	615	5
641	306	5
642	616	5
643	617	5
644	618	5
645	459	5
646	500	5
647	619	4
648	620	5
649	621	4
650	622	3
651	623	5
341	624	5
652	503	5
653	50	5
654	625	5
655	626	5
37	627	3
41	628	3
656	629	3
181	630	5
657	172	5
658	631	5
659	632	4
660	633	5
661	634	5
662	635	5
663	636	4
664	637	2
665	638	1
666	639	4
279	640	4
667	641	5
668	642	5
669	643	5
670	644	5
671	645	5
672	646	5
673	10	5
674	647	5
675	648	5
676	649	5
270	650	5
677	651	5
678	652	5
679	653	2
680	654	5
681	632	5
682	655	4
683	337	5
684	656	1
580	657	4
685	658	5
686	659	5
687	660	5
688	661	5
689	662	5
690	663	5
691	664	5
692	279	4
693	665	4
694	666	5
695	667	5
696	668	4
697	669	5
698	391	2
699	670	5
157	671	4
700	500	5
701	672	4
702	673	5
703	674	4
28	675	5
704	676	5
530	677	5
705	678	5
706	679	5
707	184	3
107	680	4
708	681	5
12	682	5
709	683	4
710	684	5
711	685	5
712	686	5
713	687	5
714	688	4
715	343	5
716	689	5
717	690	5
718	355	5
719	691	4
720	692	5
721	693	5
722	694	5
723	695	3
724	182	4
725	696	4
726	697	4
727	698	3
728	699	4
729	700	5
730	701	5
731	702	5
199	703	5
169	704	3
732	705	5
733	706	5
734	707	4
735	708	5
249	709	3
736	710	5
737	711	5
738	712	4
739	713	5
615	580	4
740	714	5
741	42	5
742	698	5
67	715	5
743	716	5
744	717	5
745	718	5
746	139	5
326	719	5
747	720	5
748	721	5
749	722	4
750	72	5
751	723	3
664	724	4
752	725	5
753	726	5
754	727	4
755	728	4
756	694	5
757	729	4
758	475	4
137	730	5
759	731	5
760	732	5
761	733	4
125	218	5
762	734	5
763	735	5
764	736	5
765	737	5
766	738	5
767	739	5
556	740	4
768	741	5
769	742	4
770	743	1
474	503	5
302	744	5
771	745	5
772	746	4
773	747	5
774	748	5
775	341	4
776	111	4
777	749	4
511	750	4
778	751	5
779	752	5
780	753	5
781	754	5
782	755	5
783	756	5
760	757	4
784	758	4
785	759	5
786	760	5
787	360	5
437	761	3
765	762	5
788	763	5
789	764	4
790	238	5
638	154	5
791	765	5
792	766	4
793	767	5
794	768	5
79	769	4
795	87	5
796	770	5
797	771	2
798	575	5
799	772	5
800	773	5
801	111	5
802	774	5
803	775	5
804	776	5
805	777	1
449	778	4
806	779	5
807	780	4
808	99	5
5	781	2
809	782	5
810	783	5
811	784	3
812	277	5
813	785	3
814	368	3
815	786	5
12	787	5
133	90	4
816	788	5
817	789	5
818	790	5
819	791	4
747	792	5
820	793	4
821	794	5
822	795	4
823	796	5
824	311	4
825	120	5
826	797	5
208	798	4
827	799	5
828	800	5
829	801	5
830	802	5
831	803	5
832	804	5
833	805	4
834	21	5
296	806	4
835	807	4
836	808	2
432	590	5
837	809	4
838	810	5
590	811	5
839	812	4
840	813	3
841	503	5
842	580	5
843	814	5
844	815	5
845	816	4
846	817	5
847	818	5
848	582	5
849	819	5
850	590	5
851	820	5
852	821	4
853	822	3
854	823	5
855	824	5
856	473	5
857	825	5
858	683	5
859	826	5
860	489	5
861	827	3
862	336	4
863	828	3
864	829	5
865	830	5
866	831	5
867	832	3
729	396	3
868	833	5
869	834	5
870	835	4
871	836	4
872	837	5
512	838	5
873	839	5
874	18	5
713	840	5
875	841	4
876	842	4
877	843	4
878	844	5
396	845	4
879	846	5
880	847	3
881	662	5
882	848	5
883	849	5
83	850	3
884	851	5
274	852	3
885	853	5
252	236	5
886	854	5
887	451	5
888	855	5
889	644	5
890	856	5
401	857	5
891	858	5
892	554	5
893	859	4
894	860	5
895	861	5
896	332	5
897	862	5
898	863	3
94	712	4
326	864	5
899	865	5
5	628	2
900	318	5
819	792	4
765	866	5
696	867	4
901	868	5
902	124	4
903	869	5
904	503	4
905	870	5
906	753	5
907	871	5
908	315	5
249	648	4
909	872	5
910	873	5
911	874	4
912	875	3
913	179	4
914	876	3
915	318	4
916	877	5
405	878	4
917	879	4
918	880	4
919	881	5
920	882	3
921	883	5
922	884	5
923	885	4
449	886	5
924	887	5
925	888	5
926	889	5
927	890	5
928	891	5
647	892	3
929	617	5
930	210	5
931	893	5
932	894	3
933	895	5
934	896	5
531	897	3
935	898	5
936	125	1
937	899	5
938	900	4
939	901	5
940	309	5
941	902	5
942	903	4
943	904	5
944	473	5
223	902	5
945	905	4
119	906	2
946	907	5
947	908	4
948	909	4
949	339	4
950	565	5
951	647	5
952	910	4
891	911	5
425	912	4
953	913	4
274	914	3
954	915	5
955	819	5
956	916	5
957	917	4
958	918	5
959	85	5
960	919	4
961	920	5
665	379	3
442	921	4
101	654	3
962	922	4
963	391	5
964	923	4
965	591	5
966	924	5
249	925	3
967	926	5
24	927	4
925	928	4
968	929	5
969	876	4
970	930	4
511	116	5
971	218	5
972	931	4
973	218	5
974	932	4
975	933	3
263	934	4
976	935	5
977	936	3
517	937	5
978	938	5
979	565	4
225	939	5
980	940	5
981	941	5
982	942	4
983	240	5
984	943	5
985	944	4
986	916	5
987	945	4
988	946	4
989	947	5
990	131	5
113	948	4
991	949	4
992	950	5
993	951	3
885	952	5
501	953	5
994	954	4
995	955	5
225	956	5
996	957	5
997	958	3
998	326	5
999	374	4
1000	959	4
424	960	5
208	284	5
1001	961	5
1002	962	3
442	963	5
556	964	5
1003	965	5
97	966	4
1004	967	4
886	543	5
1005	968	5
887	969	4
1006	970	3
1007	971	2
1008	565	5
1009	972	3
1010	296	4
1011	586	4
1012	291	5
1013	957	1
653	973	4
1014	974	4
1015	975	1
1016	237	5
1017	976	3
836	977	5
1018	978	3
1019	581	5
1020	979	4
1021	731	4
1022	980	4
1023	349	4
1024	39	4
1025	981	5
1026	982	4
1027	237	4
909	983	5
1028	983	3
362	984	5
1029	985	5
1030	986	4
1028	987	4
796	988	3
588	989	5
1031	990	5
804	991	5
1032	503	4
1033	981	1
1034	992	5
1035	993	5
1036	994	4
1037	995	2
582	996	5
886	997	4
1038	998	4
1039	999	5
1040	1000	5
1041	1001	5
1042	1002	4
1043	1003	5
1044	811	5
1045	902	5
1046	1004	4
270	1005	5
1047	243	5
1048	431	4
616	411	5
517	1006	5
1049	1007	3
1050	1008	5
972	1009	3
1051	1010	4
1052	1011	3
665	1012	4
1053	1013	5
1054	341	5
1055	811	3
616	1014	5
1056	1015	5
1057	492	5
1058	489	5
1059	1016	5
1060	1017	5
1061	473	2
1062	827	5
1063	1018	4
1064	1019	5
1065	1020	5
1066	1021	1
1067	1022	5
121	1023	5
1068	1024	5
1069	306	5
1070	58	5
1071	41	5
604	1025	4
1072	1026	4
1073	1027	5
299	220	5
1074	1028	5
1075	1029	3
678	1030	4
1076	1031	5
1077	1032	3
1078	201	5
1079	1033	5
391	1034	5
1080	1035	5
1081	232	5
1082	1036	3
829	1037	5
1083	12	3
1084	1038	5
880	1039	4
1085	1040	5
223	1041	5
1086	1042	3
1087	1043	5
1088	1044	4
1089	1045	4
258	369	5
1090	1046	4
799	1047	5
1091	1048	5
201	172	5
1092	1049	5
1093	1050	4
1094	1051	4
12	333	5
1095	1052	3
601	882	5
550	1053	4
1096	242	5
1097	124	4
1098	1054	5
1099	1055	5
1100	1056	5
481	1057	4
1101	1058	5
755	1059	1
1102	1060	4
1103	389	5
1104	762	4
1105	1061	5
1106	1062	1
955	1063	1
1107	766	4
339	172	5
1108	1064	4
1109	1065	5
1110	503	5
1111	1066	5
1112	1067	5
1113	1068	5
1114	1069	4
1115	1070	5
1116	852	4
1117	1071	5
258	1072	5
541	1073	5
1118	1074	5
1119	1075	5
709	1076	5
796	350	4
1120	242	5
1121	1077	5
1122	125	5
804	1078	5
65	1079	5
1123	1080	5
709	1081	4
1124	1082	5
1125	1083	5
1126	1084	4
1127	1085	5
1128	1086	5
1129	1087	5
1130	242	5
760	1088	5
1131	654	5
391	1003	5
1132	1089	5
1133	1090	4
1134	1009	5
356	1091	5
565	1092	3
1135	1093	4
1136	983	4
1137	383	4
506	172	5
199	1094	5
1071	765	4
1138	1095	5
1139	201	5
455	1096	5
1140	1097	5
923	1098	5
1141	1099	5
1138	1100	5
37	1101	5
1067	1102	5
1142	817	5
1143	1103	4
1144	1104	4
1145	486	5
1146	1105	1
519	501	5
1147	195	5
1148	1106	5
1149	957	5
1150	1107	4
1151	1108	5
1075	1109	3
1152	1110	3
1153	1111	4
1154	1112	3
1155	1113	4
1156	932	4
1157	1114	5
1158	806	5
1159	1004	5
1160	14	5
1161	1115	4
941	1116	5
281	1117	4
1162	306	5
1163	1118	5
1164	1119	5
951	1120	4
1165	1121	4
1166	1122	4
1167	1123	5
1168	1124	4
1169	99	4
1170	1125	3
665	1126	5
1171	1127	5
1172	1128	3
990	289	5
1173	1129	4
1174	1130	5
964	120	3
798	37	5
1175	500	4
1176	1131	3
1177	653	3
270	228	5
1178	1132	3
677	1133	4
1179	789	5
638	1134	5
1180	1135	5
855	1136	5
1074	31	5
1181	56	5
1182	1137	5
665	1138	5
1183	1139	4
1154	1010	3
1184	1003	5
1185	146	5
1186	1140	5
1187	1141	5
1188	1142	3
1189	1143	5
1190	1144	5
1191	1145	2
1192	340	5
1193	1146	5
1194	1147	5
1195	1148	5
1178	636	3
1196	1149	5
1197	1150	5
1198	11	5
1199	1151	5
1200	1152	4
1201	1153	4
1202	1154	4
157	10	5
1203	1155	3
95	1156	5
1204	433	5
178	1157	3
1205	1158	4
1206	1159	5
1207	339	5
1208	1160	4
1209	1161	3
1210	1162	5
1211	129	1
1212	1163	5
1213	1164	5
1214	1165	3
1215	683	4
1216	1166	5
1072	1167	5
1217	907	3
1218	1168	4
1083	1169	5
1	1170	5
1219	1171	5
1220	1172	5
205	1173	5
1221	434	4
1222	1174	4
1223	1175	5
474	1176	5
1224	1177	4
1225	475	5
736	1178	5
765	1179	5
455	305	3
1226	1180	5
1227	1181	5
1228	1182	5
1229	237	4
1230	1183	2
1231	1184	5
1232	1185	3
1233	1186	5
1234	525	5
38	1187	4
1235	52	5
1236	1188	5
1237	1189	5
1238	1010	5
1239	1190	3
1240	1191	3
1241	315	5
1242	1192	5
1243	1193	2
1244	1194	5
1245	1195	5
1246	1196	5
1247	1197	5
982	1198	5
478	731	5
1248	72	4
