0	1	2
0	0	5
1	1	5
2	2	4
3	3	5
4	4	3
5	5	3
6	6	4
7	7	4
8	8	4
9	9	5
10	10	2
11	11	2
12	12	4
13	13	5
14	14	4
15	15	1
16	16	3
17	17	4
18	18	2
19	19	3
20	20	4
21	21	1
22	22	4
23	23	4
24	24	4
25	25	3
26	26	2
27	27	2
28	28	5
29	29	3
30	30	3
31	31	4
32	32	2
33	33	4
34	34	4
20	35	3
35	36	4
36	37	2
37	7	3
38	38	3
39	39	4
40	40	2
41	41	4
42	42	3
43	43	5
44	44	3
45	45	4
46	46	4
47	47	3
48	48	4
49	49	4
50	50	2
51	51	4
52	52	2
41	53	4
53	54	4
54	55	3
10	56	4
55	57	2
56	58	3
57	59	1
58	60	2
59	61	2
60	62	2
61	63	5
62	64	4
63	65	5
64	66	5
65	6	3
66	67	4
67	68	5
68	69	3
69	70	3
70	71	3
71	72	2
72	73	5
73	74	3
74	75	4
75	76	5
76	77	3
77	78	3
78	79	5
79	80	2
80	81	2
11	82	1
81	83	4
82	84	1
83	85	3
84	86	4
85	87	3
86	88	4
87	89	5
88	90	1
89	91	3
90	92	3
91	93	3
92	94	4
93	95	4
94	96	4
95	97	4
96	98	3
97	99	3
98	100	4
99	101	4
100	102	3
101	45	3
102	103	4
103	104	2
104	105	4
40	106	3
29	107	1
105	108	4
106	109	4
107	110	5
108	111	2
109	112	5
110	113	3
111	114	3
112	115	4
113	116	5
114	117	2
115	118	3
70	119	4
116	22	4
117	120	5
118	121	4
119	122	5
120	123	3
121	124	4
40	125	5
122	122	4
123	126	4
124	127	1
125	128	5
126	129	4
127	130	5
128	131	4
129	132	3
130	41	5
131	133	3
132	134	3
96	135	1
133	136	4
134	137	5
135	138	2
32	139	2
136	140	3
137	141	3
138	142	4
139	143	5
140	144	4
141	145	2
142	146	4
143	147	4
144	148	5
145	149	5
146	150	1
147	151	5
137	152	4
90	153	5
148	154	3
149	155	3
150	156	4
151	157	2
152	158	5
153	159	3
154	160	5
119	161	3
155	162	4
156	163	3
157	164	4
158	165	2
159	166	3
160	167	5
161	168	5
162	106	3
163	169	5
164	170	3
165	171	4
166	172	4
167	173	5
168	174	4
169	175	3
170	176	3
121	46	2
171	177	4
172	178	5
173	179	5
174	180	4
175	120	5
176	181	2
177	182	2
178	183	4
179	184	1
180	185	4
181	186	3
182	187	5
183	4	2
184	2	3
185	188	5
137	189	5
186	125	5
187	190	5
188	191	2
189	192	5
190	193	3
191	194	2
192	195	3
193	196	4
194	103	2
195	133	3
196	197	5
197	198	5
198	199	4
199	200	3
200	201	4
201	202	4
202	203	5
203	204	4
204	205	3
205	206	2
206	207	3
207	208	5
208	209	3
209	210	4
210	211	3
211	212	1
85	213	4
212	214	4
213	215	3
214	125	4
215	216	3
216	112	5
217	217	3
218	135	2
219	218	4
220	141	3
221	219	5
222	220	4
223	147	4
224	221	3
225	222	2
226	223	4
227	224	5
228	36	4
229	225	4
21	226	3
230	227	5
231	228	4
232	229	4
233	0	5
234	230	5
235	231	3
236	214	2
237	232	2
238	233	1
239	234	2
240	31	4
241	83	4
242	235	4
243	236	4
202	237	5
96	238	5
244	239	5
245	240	4
246	241	5
247	242	4
248	243	2
249	244	4
250	245	5
251	246	3
252	247	5
253	248	2
254	249	4
255	250	2
256	116	4
257	251	3
214	252	4
118	253	2
258	254	2
259	255	4
260	256	4
261	7	4
262	257	4
263	258	3
264	239	4
265	68	5
266	259	4
148	260	3
267	261	2
268	62	4
269	46	3
179	262	4
270	263	4
271	264	2
256	265	4
272	266	3
273	267	4
274	268	3
275	203	3
276	269	2
277	270	4
199	271	3
278	272	5
279	273	4
280	274	5
127	275	4
36	186	2
281	276	2
282	277	4
283	278	3
284	279	2
285	280	3
286	58	5
287	281	4
288	282	4
253	150	5
289	283	4
151	284	3
229	285	4
183	165	1
290	13	5
204	286	3
291	287	4
292	288	4
293	289	4
294	290	3
295	291	4
296	292	5
297	123	5
298	249	4
299	293	1
300	275	3
301	294	4
302	245	4
19	295	3
303	296	4
304	297	3
305	298	4
306	273	5
57	299	1
307	300	4
80	270	2
308	301	2
249	302	5
309	303	3
310	304	2
311	102	2
312	131	5
313	305	4
314	306	3
227	307	1
315	308	4
316	309	3
317	23	4
318	310	5
319	311	1
320	312	5
321	313	3
322	314	3
323	315	3
324	316	4
325	317	2
326	318	3
327	319	2
328	292	3
329	320	5
263	55	3
330	281	5
331	321	2
332	266	5
333	322	5
91	323	3
334	1	4
335	324	5
3	325	4
336	326	3
337	327	4
338	328	4
339	329	5
340	225	5
341	330	5
342	331	3
343	332	4
344	333	3
345	334	5
346	335	4
347	336	4
348	337	4
151	288	5
151	338	3
349	339	4
350	340	2
351	256	5
352	316	5
353	276	1
354	341	4
66	342	4
355	343	2
356	344	5
357	345	4
358	249	4
359	276	3
360	346	5
361	347	4
362	348	4
363	106	3
364	349	5
365	350	5
366	351	5
367	352	2
368	353	3
6	354	4
369	355	4
370	123	5
98	356	4
371	357	2
372	358	3
373	359	4
374	360	1
177	361	3
375	362	5
376	363	2
377	245	5
10	364	4
150	351	1
378	365	3
379	366	4
380	80	5
381	367	4
382	368	4
38	369	3
383	370	4
45	75	4
384	371	2
315	372	3
385	373	3
386	374	4
387	375	3
388	376	4
389	93	4
390	165	3
391	377	5
392	169	5
227	378	4
393	224	3
394	379	4
3	380	4
395	381	5
284	382	4
269	383	4
147	384	1
396	385	2
397	386	4
398	387	2
319	42	3
131	309	2
258	388	3
148	122	3
231	389	3
399	267	5
400	390	4
401	391	3
207	235	2
402	392	3
403	64	4
102	393	1
404	394	2
349	395	4
327	116	5
405	396	4
406	8	3
62	397	4
318	398	5
407	399	3
408	81	2
409	400	4
410	381	3
411	336	4
412	131	1
80	332	3
413	401	3
414	209	4
415	402	4
416	41	2
417	403	4
418	64	4
419	404	3
420	405	4
227	339	4
84	406	4
244	306	4
421	407	4
234	408	5
390	409	1
390	236	3
422	410	4
423	411	5
424	294	5
425	412	3
426	413	3
427	414	4
411	407	3
177	415	3
428	416	2
429	417	3
430	122	4
431	418	5
432	2	5
433	419	5
434	110	5
435	420	5
436	383	3
134	421	4
437	422	4
0	423	1
438	424	2
439	316	4
440	192	5
154	425	2
349	426	3
441	76	3
442	427	2
443	428	4
444	14	4
445	429	3
446	430	2
447	124	4
370	13	2
15	96	4
448	431	3
449	28	5
450	432	3
451	55	3
452	433	5
453	434	5
454	435	2
455	436	3
456	437	4
457	438	4
458	439	5
459	440	3
460	441	4
461	33	4
462	405	5
463	442	5
464	443	4
465	444	5
466	308	4
467	445	3
468	257	5
469	446	4
470	447	5
471	448	4
472	180	2
473	220	5
474	380	5
475	449	4
476	75	3
477	450	4
478	451	4
64	277	4
479	452	2
480	453	4
481	454	5
482	447	5
483	455	2
484	347	3
485	220	4
291	456	4
486	239	5
487	3	4
38	457	4
467	458	3
488	315	2
426	459	2
489	460	3
91	435	3
490	349	4
491	413	3
492	461	3
493	462	4
494	326	4
495	461	3
496	463	4
497	108	4
498	464	4
499	419	4
500	465	2
501	466	1
502	467	5
503	468	5
174	117	4
504	469	2
505	470	4
506	471	2
507	472	4
364	473	5
508	474	4
509	475	4
510	31	3
511	476	5
512	341	3
513	220	5
514	477	4
515	478	1
57	343	2
516	213	4
517	270	4
518	78	2
519	374	5
520	479	1
521	480	1
522	481	4
523	482	2
524	96	4
41	483	4
525	261	2
232	192	5
26	484	4
526	485	3
527	106	4
203	486	4
528	487	3
49	488	1
529	489	4
530	490	3
531	491	4
532	492	1
533	493	5
534	494	4
535	326	5
536	495	3
298	308	3
537	496	4
538	497	2
539	353	3
499	195	3
540	498	4
541	499	4
542	500	3
543	501	4
544	502	1
545	503	5
546	504	3
547	505	2
548	506	3
148	189	3
77	172	3
457	507	3
549	508	3
550	509	4
212	292	4
450	510	4
551	511	4
552	512	4
475	513	3
553	514	4
416	142	5
554	515	4
555	516	3
556	444	4
557	284	5
558	517	5
559	518	3
560	519	5
561	245	5
155	520	4
562	521	4
563	140	4
176	522	2
564	523	4
565	80	4
566	524	4
567	85	3
568	525	2
569	267	5
570	526	5
571	336	3
572	237	5
573	527	1
574	528	1
575	529	2
567	453	1
576	530	4
577	220	3
477	278	4
578	531	4
579	532	1
580	533	4
581	534	1
378	535	4
582	133	5
583	536	5
584	537	3
585	65	2
586	538	5
587	539	3
588	461	2
589	540	2
403	541	4
29	542	5
590	543	4
591	544	3
592	535	4
593	545	5
157	261	3
554	546	5
594	547	4
595	241	3
596	548	3
597	549	5
598	267	5
599	550	5
96	88	5
35	493	2
600	142	4
286	551	5
362	552	3
601	147	5
602	553	2
311	456	3
603	289	3
604	212	3
148	281	5
605	554	4
606	535	4
356	554	5
607	51	5
608	555	4
107	556	3
609	294	4
610	557	5
611	386	5
612	158	5
613	558	2
614	559	1
615	449	3
574	560	5
616	561	2
501	562	3
617	563	4
431	308	5
368	517	2
618	389	5
558	376	4
619	564	3
620	352	3
621	565	4
182	566	5
622	567	3
539	68	3
62	568	4
213	72	3
623	332	4
624	569	4
479	570	1
625	153	5
320	196	4
626	571	4
307	572	4
627	573	2
628	375	3
319	574	3
629	459	3
126	575	3
630	531	4
631	576	2
632	577	3
633	105	4
634	64	4
518	578	4
293	179	4
635	579	3
304	580	3
636	2	4
637	581	3
638	582	4
639	583	3
640	584	2
641	245	3
586	334	5
642	585	4
179	493	3
643	586	4
644	587	3
645	114	2
227	588	4
646	414	3
647	589	5
648	590	4
649	51	4
650	555	3
607	284	3
651	591	4
652	402	4
653	397	3
654	591	3
655	389	4
656	592	3
657	593	5
658	473	5
659	594	3
660	595	4
661	451	3
662	596	4
663	56	4
664	597	4
558	598	5
665	599	2
666	67	3
667	600	5
668	601	5
154	193	3
255	602	3
447	583	4
307	603	4
669	164	4
670	604	4
592	605	2
510	248	3
671	276	1
672	606	2
673	148	4
674	124	5
675	283	3
676	607	3
677	417	4
616	608	3
678	609	5
679	413	3
680	610	3
681	405	3
566	373	4
682	611	2
683	612	3
684	613	3
685	614	2
227	568	4
581	615	2
686	88	4
687	374	4
292	616	3
688	617	3
202	451	1
689	618	4
282	619	4
690	620	4
691	621	3
692	5	5
693	622	3
694	623	4
695	624	4
291	625	4
349	626	3
696	627	4
697	131	4
698	628	5
699	629	2
700	426	4
701	300	3
702	630	5
446	631	3
703	108	4
704	632	3
705	633	4
706	634	3
707	635	2
708	273	5
709	636	4
710	637	2
711	638	4
587	585	3
712	639	3
441	640	5
713	641	2
714	642	5
715	643	3
716	471	3
717	644	3
555	512	4
718	171	4
719	645	4
720	584	3
721	646	5
722	647	3
212	393	3
723	371	4
724	625	3
361	648	4
725	624	5
726	649	3
727	319	3
728	650	4
729	26	4
56	558	2
405	107	3
730	651	3
731	652	2
732	653	4
733	643	3
734	169	5
207	356	3
735	350	5
736	654	4
737	555	5
738	108	4
202	655	5
666	656	1
32	209	3
172	657	3
739	381	3
677	658	5
567	311	2
521	659	2
740	660	3
741	661	4
742	662	3
19	237	3
743	663	4
744	140	5
512	120	4
745	664	4
539	205	5
746	665	5
747	666	5
748	34	4
681	667	3
749	161	5
750	668	5
751	434	4
148	669	4
752	533	4
586	670	4
753	671	3
734	135	3
754	672	1
392	673	3
52	62	4
39	674	3
755	675	4
756	63	4
757	18	2
712	153	5
758	179	3
26	88	4
759	448	5
760	676	4
761	358	4
762	638	3
763	342	4
764	305	5
720	672	4
765	677	4
294	533	3
82	83	5
766	162	5
767	678	4
768	80	3
559	679	5
769	312	4
770	23	5
771	680	1
234	274	5
772	681	2
773	124	5
294	597	4
523	197	4
774	514	1
775	666	5
776	682	2
777	683	5
778	684	3
779	685	5
780	686	3
781	687	5
782	517	2
783	688	5
784	689	3
785	690	3
786	691	3
787	8	3
571	692	1
788	693	5
789	694	5
717	603	5
25	308	5
790	695	4
791	696	5
792	444	5
793	697	4
117	141	4
794	698	3
151	699	3
795	316	4
796	140	4
797	489	2
742	65	4
677	700	1
661	389	5
289	439	4
798	17	5
799	701	3
154	702	2
800	666	4
488	226	3
479	245	4
801	703	5
802	704	4
803	342	4
804	705	4
805	706	3
150	446	2
806	707	5
490	528	2
755	433	4
807	408	4
808	708	5
809	316	5
810	458	5
102	675	3
811	7	2
812	660	3
163	709	4
813	710	5
212	711	4
442	54	1
91	712	5
814	713	2
741	245	5
815	538	4
685	714	4
531	520	5
816	715	4
602	463	4
749	716	5
817	717	3
818	718	4
148	719	2
510	505	2
819	0	4
209	720	2
820	721	2
821	296	5
535	158	4
822	722	4
484	723	4
823	724	5
824	725	5
825	726	4
826	6	4
827	727	1
291	461	3
12	728	4
88	661	1
828	729	4
829	290	3
830	325	4
192	730	3
831	606	4
832	731	4
683	5	5
833	732	3
834	256	4
835	404	4
374	733	3
472	334	3
836	108	5
837	734	4
838	735	4
517	546	4
839	736	3
840	659	4
539	737	1
174	738	3
690	298	3
681	739	4
841	740	2
842	741	2
843	742	3
844	743	2
845	47	1
252	744	4
846	745	3
847	546	5
848	479	4
374	746	4
845	747	3
849	67	3
850	375	2
851	736	4
852	748	3
509	749	3
312	225	5
853	750	4
854	664	4
767	751	4
855	199	3
762	752	2
856	753	4
857	499	2
858	754	4
859	336	4
860	179	3
861	755	4
189	756	3
862	482	3
863	757	4
864	257	4
865	92	4
799	501	2
866	212	4
867	181	4
868	51	5
869	577	5
870	235	4
229	758	4
247	477	4
38	759	4
859	760	3
44	588	5
64	716	4
98	761	1
273	762	3
289	482	3
871	763	3
811	221	1
872	28	5
574	249	5
873	296	2
534	197	4
874	764	2
875	151	4
876	354	3
619	161	5
99	414	4
280	400	3
877	451	1
878	765	4
879	766	5
229	767	4
880	755	1
881	313	5
882	377	5
235	768	3
883	127	4
571	769	1
884	392	3
885	377	4
45	770	1
794	295	3
670	545	3
886	771	2
887	197	5
54	284	3
888	772	3
889	235	3
890	773	5
891	774	5
892	775	5
893	272	5
894	776	5
895	777	3
896	778	4
897	779	5
898	98	1
899	780	3
604	106	1
900	24	4
901	153	5
902	137	5
546	781	2
727	340	4
575	97	4
734	782	2
158	2	4
903	783	3
220	127	2
795	784	5
904	785	3
905	720	4
859	786	5
208	787	3
906	117	4
907	788	4
723	789	4
908	470	3
909	790	3
457	791	4
326	792	2
910	272	5
911	793	3
285	579	3
912	162	1
913	387	4
826	794	4
148	485	2
914	795	4
915	208	4
916	796	4
917	551	5
304	797	2
307	399	3
918	400	4
919	798	4
920	261	2
353	799	4
921	72	4
542	800	4
922	14	4
923	349	5
640	801	3
319	291	2
428	802	3
618	455	3
924	412	4
925	0	5
895	111	4
926	63	2
176	725	3
927	242	4
928	51	2
315	235	3
929	471	2
96	671	3
930	179	5
931	545	4
700	803	4
932	804	4
933	202	3
170	67	2
544	805	4
280	407	5
934	196	5
479	806	3
831	807	2
935	62	3
936	808	3
937	124	5
938	489	5
155	287	5
939	342	5
940	412	4
941	809	5
361	411	1
942	367	4
399	810	5
943	811	5
944	812	4
945	813	3
946	660	3
947	274	5
541	434	4
948	196	3
591	33	2
949	814	4
642	250	3
950	815	1
737	150	1
951	816	5
639	817	2
952	8	4
953	271	4
954	707	5
955	818	4
956	179	3
957	819	1
958	820	3
959	218	3
960	821	4
961	822	4
962	823	3
963	16	1
964	824	4
965	825	3
966	826	2
845	347	1
967	827	3
608	514	4
968	828	3
969	17	5
970	768	5
971	829	2
972	547	5
973	830	4
974	831	2
975	832	3
976	286	4
977	833	2
739	204	3
350	533	3
978	834	2
979	835	4
980	836	3
981	837	5
982	838	3
134	578	4
141	839	3
983	704	4
984	840	3
365	757	3
985	841	4
565	108	5
986	533	3
908	660	2
863	146	3
987	312	3
665	842	1
872	647	3
421	843	2
845	844	4
129	845	2
64	846	5
988	847	5
957	848	3
989	179	5
990	849	2
991	384	1
845	850	2
992	230	3
602	419	4
974	691	4
993	291	4
351	745	3
994	851	2
995	852	3
996	736	1
997	853	5
998	186	2
999	854	4
1000	855	3
1001	856	3
1002	857	5
399	858	3
1003	859	4
1004	209	2
1005	286	4
508	329	1
1006	44	3
1007	860	4
35	861	3
1008	862	4
1009	248	2
1010	863	4
1011	369	4
1012	236	4
1013	397	3
1014	23	3
1015	864	5
1016	865	3
152	828	3
1017	866	3
1018	867	3
1019	868	3
1020	869	4
140	140	5
1021	870	1
148	294	4
272	871	5
1022	244	4
1023	434	5
1024	130	4
402	67	4
1025	62	4
1026	872	3
1027	873	4
1028	874	4
1029	273	4
232	875	2
249	468	4
526	673	4
591	458	3
919	713	4
1030	876	3
740	877	5
1031	878	2
1032	690	4
1033	67	4
91	879	3
1003	880	3
1034	881	3
156	882	5
1035	461	4
1036	794	3
926	666	4
1037	391	4
730	883	3
1038	256	5
269	884	3
1039	885	2
1040	886	3
53	31	4
1041	887	3
1042	485	1
174	888	4
1043	294	4
1044	280	3
959	438	5
347	889	4
1045	890	4
1046	891	1
1047	407	4
350	892	1
1048	757	3
1049	497	5
1050	44	4
1051	893	3
1052	894	4
1053	895	1
579	896	1
910	461	3
1054	501	2
1055	578	4
1056	897	5
289	838	3
1057	112	5
82	687	5
1058	212	4
1059	898	5
596	899	3
1060	652	4
1061	438	4
821	633	5
1062	900	5
1063	643	4
695	776	5
361	290	5
668	901	3
1064	902	3
1065	759	4
1066	555	2
1067	903	3
1068	904	3
1069	537	4
1070	601	3
1052	142	5
1071	905	3
1072	372	3
1073	437	4
1074	906	4
727	907	4
1075	24	4
1076	147	1
778	275	3
357	506	4
1077	908	3
1078	119	4
1079	413	2
720	909	4
1080	31	4
672	274	4
1081	294	1
1082	784	4
232	910	3
549	677	4
1083	911	3
1084	912	2
781	5	5
1085	913	4
1086	803	4
1087	349	4
792	914	5
1088	240	3
1089	173	4
1090	915	5
370	916	3
517	917	4
1091	918	3
859	919	3
1092	920	4
1093	921	5
1094	449	3
84	682	4
447	69	3
941	922	2
569	607	4
1095	162	4
776	683	5
146	923	1
1096	924	3
1097	925	4
1098	628	4
776	501	4
677	926	4
1099	927	4
270	358	4
488	53	2
601	928	4
867	370	3
1100	929	3
862	117	3
1101	930	1
1102	144	5
1103	931	4
170	36	3
1104	507	4
1105	932	3
1056	291	4
1106	933	1
238	8	4
252	934	3
447	877	3
1107	397	5
321	877	2
1017	298	5
646	935	4
1108	363	5
1109	628	5
1110	31	4
495	88	4
641	803	5
652	936	3
484	83	5
1111	937	3
1112	444	4
1113	449	1
1114	8	5
770	4	3
1115	936	1
252	289	5
1116	180	5
1117	530	4
585	938	4
953	151	4
1118	929	3
728	581	4
744	939	4
1119	940	5
1120	356	3
1121	48	5
